Year,Month,SOI
1975,09,2.1
1975,10,1.7
1975,11,1.2
1975,12,2.1
1976,01,1.4
1976,02,1.7
1976,03,1.7
1976,04,0.3
1976,05,0.4
1976,06,0.3
1976,07,-0.9
1976,08,-0.8
1976,09,-1.1
1976,10,0.4
1976,11,0.7
1976,12,-0.3
1977,01,-0.4
1977,02,1.2
1977,03,-0.5
1977,04,-0.4
1977,05,-0.5
1977,06,-0.9
1977,07,-1.1
1977,08,-0.8
1977,09,-0.8
1977,10,-1.0
1977,11,-1.3
1977,12,-1.1
1978,01,-0.3
1978,02,-2.7
1978,03,-0.2
1978,04,-0.3
1978,05,1.4
1978,06,0.7
1978,07,0.6
1978,08,0.4
1978,09,0.1
1978,10,-0.4
1978,11,0.0
1978,12,-0.1
1979,01,-0.4
1979,02,1.0
1979,03,0.1
1979,04,-0.1
1979,05,0.5
1979,06,0.6
1979,07,1.3
1979,08,-0.2
1979,09,0.1
1979,10,-0.1
1979,11,-0.4
1979,12,-0.7
1980,01,0.4
1980,02,0.3
1980,03,-0.4
1980,04,-0.6
1980,05,0.0
1980,06,0.0
1980,07,0.0
1980,08,0.4
1980,09,-0.5
1980,10,0.0
1980,11,-0.3
1980,12,-0.1
1981,01,0.4
1981,02,-0.2
1981,03,-1.3
1981,04,-0.1
1981,05,0.8
1981,06,1.2
1981,07,0.8
1981,08,0.7
1981,09,0.3
1981,10,-0.4
1981,11,0.2
1981,12,0.5
1982,01,1.2
1982,02,0.3
1982,03,0.6
1982,04,0.1
1982,05,-0.3
1982,06,-1.0
1982,07,-1.5
1982,08,-1.7
1982,09,-1.7
1982,10,-1.7
1982,11,-2.6
1982,12,-2.2
1983,01,-3.5
1983,02,-3.6
1983,03,-2.4
1983,04,-0.9
1983,05,0.6
1983,06,0.0
1983,07,-0.6
1983,08,0.1
1983,09,0.9
1983,10,0.4
1983,11,-0.1
1983,12,0.0
1984,01,0.2
1984,02,0.9
1984,03,-0.2
1984,04,0.3
1984,05,0.2
1984,06,-0.3
1984,07,0.2
1984,08,0.4
1984,09,0.1
1984,10,-0.3
1984,11,0.3
1984,12,-0.1
1985,01,-0.3
1985,02,1.2
1985,03,0.8
1985,04,1.2
1985,05,0.4
1985,06,-0.4
1985,07,-0.1
1985,08,1.0
1985,09,0.0
1985,10,-0.4
1985,11,-0.2
1985,12,0.2
1986,01,1.0
1986,02,-1.0
1986,03,0.5
1986,04,0.3
1986,05,-0.2
1986,06,1.0
1986,07,0.3
1986,08,-0.4
1986,09,-0.5
1986,10,0.6
1986,11,-1.2
1986,12,-1.4
1987,01,-0.7
1987,02,-1.2
1987,03,-1.3
1987,04,-1.4
1987,05,-1.3
1987,06,-1.1
1987,07,-1.4
1987,08,-0.9
1987,09,-1.0
1987,10,-0.4
1987,11,0.0
1987,12,-0.5
1988,01,-0.1
1988,02,-0.4
1988,03,0.6
1988,04,0.1
1988,05,0.9
1988,06,0.1
1988,07,1.0
1988,08,1.5
1988,09,1.8
1988,10,1.4
1988,11,1.7
1988,12,1.2
1989,01,1.5
1989,02,1.2
1989,03,1.1
1989,04,1.6
1989,05,1.2
