Time,Southern Oscillation Index,NINO3 SST
1898.166667,,-0.491375
1898.2499895024862,1.34,
1898.25,,-0.1282083
1898.3321267804356,-0.11,
1898.333333,,-0.178375
1898.416667,,-0.2380833
1898.4170019676499,-0.51,
1898.499139245599,0.65,
1898.5,,-0.38575
1898.583333,,-0.5320417
1898.5840144328133,0.72,
1898.666667,,-0.4879167
1898.6688896200276,0.88,
1898.75,,-0.5490834
1898.7510268979768,0.34,
1898.833333,,-0.6995834
1898.835902085191,0.02,
1898.916667,,-0.7157084
1898.9180393631405,0.42,
1899.0,,-0.5652917
1899.0029145503547,1.31,
1899.083333,,-0.3799584
1899.087789737569,0.87,
1899.1644511969882,1.38,
1899.166667,,-0.1103333
1899.2493263842025,0.49,
1899.25,,0.2863334
1899.3314636621517,-0.76,
1899.333333,,0.5398334
1899.416338849366,-1.43,
1899.416667,,0.604625
1899.4984761273154,-0.53,
1899.5,,0.7571667
1899.583333,,1.064542
1899.5833513145296,-1.18,
1899.666667,,1.128333
1899.668226501744,-0.19,
1899.75,,1.298375
1899.750363779693,0.74,
1899.833333,,1.327333
1899.8352389669074,1.66,
1899.916667,,1.540083
1899.9173762448568,-0.44,
1900.0,,1.431417
1900.002251432071,-0.89,
1900.083333,,1.351583
1900.0871266192853,-0.73,
1900.1637880787046,-2.95,
1900.166667,,1.038333
1900.2486632659188,-2.1,
1900.25,,1.026667
1900.330800543868,-0.76,
1900.333333,,0.9553334
1900.4156757310823,3.1,
1900.416667,,0.8507084
1900.4978130090317,1.02,
1900.5,,0.7727084
1900.582688196246,0.75,
1900.583333,,0.622875
1900.666667,,0.4963334
1900.6675633834602,-1.61,
1900.7497006614094,-2.13,
1900.75,,0.5059167
1900.833333,,0.2985
1900.8345758486237,-0.75,
1900.916667,,0.5063334
1900.9167131265729,-0.73,
1901.0,,0.327375
1901.0015883137871,-0.09,
1901.083333,,0.136125
1901.0864635010014,0.21,
1901.1631249604209,0.88,
1901.166667,,-0.112375
1901.2480001476351,0.64,
1901.25,,0.012583335
1901.3301374255843,0.08,
1901.333333,,-0.098666668
1901.4150126127986,2.3,
