Depth [m],d18O [permil],Age [yr BP]
560,-34.97,2408.1
562,-34.99,2419.07
564,-34.62,2429
566,-35.4,2439.67
568,-35.61,2450.58
570,-34.51,2461.5
572,-34.42,2471.9
574,-34.75,2482.08
576,-34.82,2492.15
578,-35.1,2504.53
580,-34.17,2515.13
582,-35.12,2526
584,-34.48,2536.69
586,-34.33,2548.45
588,-34.54,2559.46
590,-34.63,2569.95
592,-35.33,2581.4
594,-34.56,2591.89
596,-34.88,2602.48
598,-35.13,2612.76
600,-35.13,2623.39
602,-34.79,2634.04
604,-34.54,2644.35
606,-35.35,2655.25
608,-34.97,2666.55
610,-35.18,2676.7
612,-34.39,2688.2
614,-35.01,2699.17
616,-34.05,2709.36
618,-33.95,2721.53
620,-34.85,2734.32
622,-35.54,2745.52
624,-34.88,2756.14
626,-35.16,2766.74
628,-34.52,2777.81
630,-35.15,2788.14
632,-34.96,2798.26
634,-34.05,2808.7
636,-34.92,2818.75
638,-34.44,2829.53
640,-34.65,2840.63
642,-34.37,2851.6
644,-34.47,2862.5
646,-34.58,2873.26
648,-35.43,2883.78
650,-34.7,2895.06
652,-34.07,2906.19
654,-35.12,2916.5
656,-34.32,2927.05
658,-34.6,2937.8
660,-34.72,2948.59
662,-34.88,2960.23
664,-35.54,2971.23
666,-35.14,2982.81
668,-34.93,2993
670,-34.73,3004
672,-35.08,3014.56
674,-34.44,3025.44
676,-34.84,3036.12
678,-34.95,3047.16
680,-34.85,3058.31
682,-34.26,3070.41
684,-34.5,3082.92
686,-34.82,3095.6
688,-34.81,3109
690,-35.35,3120.17
692,-34.78,3131.89
694,-33.86,3144.15
696,-34.2,3155.54
698,-34.29,3167.45
700,-34.82,3178.57
702,-34.78,3188.5
704,-34.74,3199.14
706,-34.42,3210.93
708,-34.54,3224.68
710,-34.36,3236.71
712,-34.54,3247.39
714,-34.61,3259.05
716,-34.46,3270.63
718,-34.09,3282.44
720,-33.7,3293.35
722,-34.5,3305.49
724,-34.55,3317.85
726,-34.33,3329.4
728,-34.76,3340.7
730,-35.03,3353.05
732,-35.24,3364.38
734,-35.2,3376.57
736,-35.01,3387.82
738,-35,3399.88
740,-35.32,3412.19
742,NaN,3424.42
744,NaN,3436.41
746,-34.9,3448.41
748,-34.44,3460.68
750,-34.91,3472.91
752,-34.23,3484.29
754,-34.16,3496.5
756,-34.34,3508.4
758,-34.65,3519.49
760,-34.4,3531.52
762,-35.25,3543.97
764,-35.14,3555.81
766,-34.68,3568.11
768,-34.69,3579
770,-34.18,3590.56
772,-34.73,3602.03
774,-34.63,3615.28
776,-34.28,3627.32
778,-35.1,3639.3
780,-34.07,3651.06
782,-34.65,3663.93
784,-34.84,3675.59
786,-34.56,3686.72
788,-34.87,3697.83
790,-34.88,3710.03
792,-34.91,3722.07
794,-35.11,3734.5
796,-34.64,3746.38
798,-34.24,3758.2
800,-35.05,3770.44
802,-34.41,3782.68
804,-35.05,3793.87
806,-34.93,3805.92
808,-35.22,3818.09
810,-34.33,3830.56
812,-35.48,3842.91
814,-34.92,3855.18
816,-34.78,3866.82
818,-35.36,3878.86
820,-35.01,3891.6
822,-34.37,3903.94
824,-34.99,3916.31
826,-35.21,3929.2
828,-35.16,3941.12
830,-34.92,3953.55
832,-34.68,3967.06
834,-34.61,3979.43
836,-34.61,3992.29
838,-34.24,4004.45
840,-34.54,4016.68
842,-35.18,4030.21
844,-35.06,4042.56
846,-34.63,4054.94
848,-34.36,4067.61
850,-35.35,4080.64
852,-34.78,4093.74
854,-33.81,4105.9
856,-34.96,4118.96
858,-34.4,4132.19
860,-34.79,4145
862,-35.02,4157.52
864,-34.53,4169.26
866,-34.76,4181.82
868,-34.46,4194.15
870,-34.7,4206.61
872,-34.68,4219.25
874,-34.93,4231.65
876,-35.02,4243.74
878,-34.18,4257.38
880,-34.24,4270.47
882,-34.54,4282.6
884,-35,4295.32
886,-34.69,4307.36
888,-34.86,4320.14
890,-34.59,4333.33
892,-35.49,4345.59
894,-35.79,4359.06
896,-34.56,4371.36
898,-35.41,4384.23
900,-34.74,4396.94
902,-34.79,4410.21
904,-35.26,4422.63
906,-34.49,4435.48
908,-34.52,4448.04
910,-35.76,4460.3
912,-34.88,4473.22
914,-34.75,4486.16
916,-35.24,4499.46
918,-34.53,4512.88
920,-34.89,4525.27
922,-34.87,4538.4
924,-35.11,4551.89
926,-34.58,4565.08
928,-34.33,4578.24
930,-34.9,4590.82
932,-35.52,4603.9
934,-35.11,4617.14
936,-34.67,4630.68
938,-36.09,4643.45
940,-36.16,4656.37
942,-34.57,4669.83
944,-34.6,4681.56
946,-34.95,4694.31
948,-34.68,4708.64
950,-34.61,4721.16
952,-35.43,4734
954,-35.32,4747.35
956,-35.16,4761.36
958,-35.64,4774.13
960,-34.73,4788.47
962,-34.61,4801.8
964,-34.91,4814.75
966,-34.97,4828.16
968,-35.24,4840.7
970,-34.53,4854.06
972,-33.68,4866.92
974,-34.76,4880.18
976,-34.67,4893.69
978,-34.52,4906.79
980,-34.82,4920.11
982,-33.96,4933.27
984,-34.9,4946.3
986,-34.66,4959.17
988,-34.71,4973.27
990,-35.09,4987.5
992,-34.31,5000.66
994,-35.04,5015.09
996,-34.52,5028.65
998,-34.21,5041.69
1000,-34.57,5054.7
1002,-35.18,5069.84
1004,-35.24,5083.56
1006,-34.73,5097.29
1008,-34.35,5110.46
1010,-34.22,5125.04
1012,-35.11,5138.67
1014,-34.78,5152.71
1016,-33.59,5167.06
1018,-34.74,5180.66
1020,-34.16,5195.2
1022,-34.51,5209.7
1024,-34.99,5223.66
1026,-34.56,5237.8
1028,-34.6,5251
1030,NaN,5265.52
1032,-35.04,5279.5
1034,-35.18,5294.09
1036,-34.88,5309.08
1038,-35.1,5323.39
1040,-34.89,5338.08
1042,-34.62,5352.21
1044,-35.4,5366.07
1046,-35.72,5380.19
1048,-35.16,5393.63
1050,-35.27,5407.43
1052,-34.66,5421.97
1054,-34.63,5437.13
1056,-34.65,5451.33
1058,-35.07,5465.73
1060,-34.33,5480.36
1062,-34.42,5495.56
1064,-34.51,5510.9
1066,-34.76,5526.36
1068,-34.51,5540.71
1070,-34.57,5555.55
1072,-34.63,5570.68
1074,-34.4,5584.31
1076,-34.97,5599.67
1078,-34.4,5613.81
1080,-34.49,5629.81
1082,-34.94,5645.2
1084,-34.83,5660.13
1086,-33.98,5675.29
1088,-34.84,5692.14
1090,-34.76,5707.89
1092,-34.71,5723.82
1094,-35.09,5739.32
1096,-34.67,5755.71
1098,-35.04,5772.12
1100,-34.35,5787.1
1102,-34.68,5802.94
1104,-34.83,5818.46
1106,-35.33,5832.91
1108,-34.75,5848.81
1110,-33.92,5863.79
1112,-34.96,5879.07
1114,-34.3,5894.12
1116,-34.94,5909
1118,-34.9,5924.41
1120,-34.51,5939.31
1122,-34.39,5954.43
1124,-34.69,5969.75
1126,-34.79,5983.29
1128,-34.44,5998.52
1130,-34.55,6013.87
1132,-34.97,6029.62
1134,-34.92,6044.2
1136,-35.03,6060.24
1138,-34.34,6075.93
1140,-35.44,6092.18
1142,-35.32,6108.29
1144,-34.75,6124.5
1146,-34.33,6140.63
1148,-34.69,6155
1150,-34.21,6168.83
1152,-35.18,6184.88
1154,-34.33,6201.43
1156,-35.04,6216.86
1158,-34.98,6233.21
1160,-35.08,6249.88
1162,-34.89,6266.2
1164,-35.13,6282.33
1166,-35.48,6296.91
1168,-34.2,6313.36
1170,-34.57,6328.69
1172,-34.72,6344.4
1174,-34.56,6359.58
1176,-35.05,6375.14
1178,-34.48,6389.81
1180,-34.54,6406.5
1182,-35.04,6422.37
1184,-35.13,6438.12
1186,-34.7,6454.07
1188,-34.71,6469.71
1190,-34.77,6486.21
1192,-34.53,6502
1194,-35.11,6517.33
1196,-34.79,6533.77
1198,-35.01,6549.23
1200,-35.44,6564.13
1202,-34.58,6580.08
1204,-34.59,6596.04
1206,-34.98,6611.25
1208,-35.19,6627.08
1210,-34.49,6643.92
1212,-34.22,6659.05
1214,-35.09,6675.25
1216,-34.91,6691.64
1218,-34.65,6707.33
1220,-34.83,6724.3
1222,-35.08,6740.25
1224,-33.94,6757.26
1226,-34.25,6774.04
1228,-34.24,6790.67
1230,-34.29,6808.91
1232,-33.79,6825.29
1234,-33.65,6841.69
1236,-34.9,6858.26
1238,-34.67,6873.58
1240,-33.97,6890.17
1242,-34.07,6906.45
1244,-34.31,6922.73
1246,-35.2,6939.24
1248,-34.2,6956.25
1250,-34.65,6974
1252,-35.02,6990.59
1254,-34.16,7008.16
1256,-34.83,7025.08
1258,-35.21,7042.42
1260,-35.15,7060.1
1262,-35.14,7076.83
1264,-34.9,7094.28
1266,-34.73,7111.27
1268,-34.66,7128.21
1270,-35.42,7145.08
1272,-34.29,7161.5
1274,-35.03,7177.06
1276,-34.73,7195.32
1278,-35.13,7212.55
1280,-35.02,7229.61
1282,-34.98,7247.2
1284,-34.95,7265.5
1286,-34.37,7282.83
1288,-35.03,7299.06
1290,-34.28,7316.27
1292,-34.29,7333.96
1294,-34.42,7350.86
1296,-34.99,7367.52
1298,-34.73,7384.26
1300,-33.94,7401.25
1302,-34.58,7419.24
1304,-34.42,7435.32
1306,-34.61,7452.23
1308,-34.61,7469.42
1310,-35,7486.77
1312,-35.64,7504.37
1314,-34.46,7521.92
1316,-34.89,7540.25
1318,-34.59,7556.67
1320,-34.39,7573.11
1322,-34.83,7590.41
1324,-33.71,7607.36
1326,-35.14,7625.05
1328,-34.4,7643.04
1330,-34.64,7660.04
1332,-34.24,7678.27
1334,-33.84,7694.75
1336,-34.57,7711.95
1338,-34.01,7730.52
1340,-34.45,7747.83
1342,-34.53,7765.04
1344,-34.37,7782.1
1346,-34.35,7799.36
1348,-33.41,7815.85
1350,-34.71,7832.76
1352,-34.12,7851.36
1354,-34.41,7868.81
1356,-34.7,7886.05
1358,-34.4,7903.95
1360,-34.81,7922.17
1362,-34.78,7939.58
1364,-34.16,7958.71
1366,-34.3,7976.5
1368,-34.57,7993.32
1370,-34.49,8011.57
1372,-35.19,8030.42
1374,-35.18,8048.79
1376,-34.77,8065.92
1378,-35.15,8085.42
1380,-34.73,8100.29
1382,-35.27,8119.15
1384,-34.92,8136
1386,-35.35,8157.15
1388,-36.19,8175.64
1390,-36.01,8197
1392,-36.44,8215.36
1394,-35.73,8235.23
1396,-35.27,8256
1398,-34.77,8276.63
1400,-34.54,8295.8
1402,-34.73,8312.92
1404,-34.45,8330.5
1406,-34.83,8350.33
1408,-34.84,8370.18
1410,-34.98,8388.92
1412,-34.92,8407.31
1414,-34.34,8427.69
1416,-34.85,8444.86
1418,-34.6,8465.22
1420,-34.71,8484.5
1422,-34.81,8504.71
1424,-34.96,8523.83
1426,-34.86,8543.2
1428,-34.32,8562.42
1430,-34.49,8579.33
1432,-34.54,8598.38
1434,-34.54,8617.37
1436,-34.71,8636.33
1438,-34.85,8654.62
1440,-34.4,8673.17
1442,-34.73,8693.33
1444,-34.76,8713.22
1446,-34.06,8731.5
1448,-34.52,8750.17
1450,-34.68,8768.43
1452,-34.31,8787.7
1454,-34.36,8808.17
1456,-34.88,8829
1458,-34.79,8850.14
1460,-34.23,8869.38
1462,-33.99,8888.67
1464,-33.82,8907.6
1466,-34.58,8926.14
1468,-34.66,8946.56
1470,-34.57,8967.14
1472,-35.09,8987.33
1474,-34.57,9007.07
1476,-34.46,9027.67
1478,-34.39,9048.35
1480,-34.77,9066.86
1482,-33.9,9085.81
1484,-34.46,9105.09
1486,-34.9,9123.86
1488,-34.9,9144
1490,-34.48,9164.67
1492,-34.65,9183.22
1494,-35.33,9204.73
1496,-35.03,9226.75
1498,-34.6,9248
1500,-35.07,9268.78
1502,-33.94,9290.17
1504,-34.19,9312.83
1506,-34.4,9331.83
1508,-34.15,9353.78
1510,-34.89,9374
1512,-34.39,9396.43
1514,-34.92,9417.7
1516,-35.48,9438.78
1518,-35.13,9459.44
1520,-35.28,9481.38
1522,-34.84,9504.44
1524,-35.09,9528.2
1526,-34.4,9550.63
1528,-34.64,9573.79
1530,-34.78,9595.89
1532,-33.9,9619.45
1534,-35.34,9643.32
1536,-34.28,9664.95
1538,-34.21,9690.41
1540,-34.48,9713.22
1542,-35.23,9735.62
1544,-34.14,9759.5
1546,-34.57,9783.31
1548,-35.31,9806.89
1550,-35.07,9828.67
1552,-35.04,9852.23
1554,-34.86,9873.89
1556,-34.17,9899.05
1558,-35.17,9920.42
1560,-34.9,9945.36
1562,-34.62,9968.58
1564,-35.17,9990.42
1566,-34.59,10014.2
1568,-35.45,10038
1570,-35.61,10061.5
1572,-35.57,10084.5
1574,-34.65,10109.4
1576,-35.05,10134.8
1578,-35.4,10161.1
1580,-35.46,10187.5
1582,-35.16,10214.1
1584,-35.33,10238.1
1586,-35.14,10262.1
1588,-35.87,10285.8
1590,-36.26,10312.2
1592,-35.83,10339.5
1594,-35.83,10363.6
1596,-35.87,10390
1598,-35.35,10414.8
1600,-35.38,10443.3
1602,-36,10471
1604,-35.69,10499
1606,-35.51,10527
1608,-36.05,10555
1610,-35.65,10582
1612,-35.49,10610
1614,-36.52,10640
1616,-35.61,10668
1618,-36.59,10696
1620,-35.5,10724
1622,-35.99,10754
1624,-35.99,10781
1626,-36.13,10809
1628,-36.24,10839
1630,-36.92,10868
1632,-36.82,10899
1634,-36.52,10927
1636,-36.04,10957
1638,-36.53,10987
1640,-36.4,11019
1642,-36.67,11049
1644,-36.56,11082
1646,-36.81,11111
1648,-36.76,11142
1650,-35.82,11175
1652,-36.42,11205
1654,-37.11,11236
1656,-36.52,11269
1658,-37.09,11301
1660,-38.25,11333
1662,-38.05,11370
1664,-37.05,11408
1666,-37.39,11441
1668,-36.77,11474
1670,-36.57,11504
1672,-36.46,11538
1674,-36.54,11573
1676,-38.72,11609
1678,-40.29,11652
1680,-40.01,11717
1682,-40.48,11785
1684,-40.45,11851
1686,-40.7,11921
1688,-39.57,11991
1690,-40.14,12066
1692,-40.71,12136
1694,-40.3,12208
1696,-40.36,12284
1698,-40.14,12363
1700,-41.34,12437
1702,-40.84,12512
1704,-41.66,12590
1706,-40.85,12667
1708,-40.58,12741
1710,-40.45,12816
1712,-38.76,12882
1714,-38.24,12935
1716,-38.44,12976
1718,-38.63,13017
1720,-39.27,13064
1722,-40.98,13107
1724,-39.69,13167
1726,-39.15,13224
1728,-38.46,13278
1730,-38.46,13328
1732,-37.2,13378
1734,-38,13422
1736,-37.81,13466
1738,-37.19,13509
1740,-37.61,13550
1742,-38.18,13587
1744,-38.36,13634
1746,-38.07,13682
1748,-37.8,13724
1750,-37.91,13764
1752,-37.53,13803
1754,-38.13,13844
1756,-38.19,13886
1758,-37.67,13931
1760,-38.35,13972
1762,-39.15,14013
1764,-38.54,14072
1766,-37.56,14114
1768,-37.98,14149
1770,-37.38,14187
1772,-36.87,14223
1774,-36.67,14261
1776,-36.04,14296
1778,-36.11,14331
1780,-36.65,14363
1782,-36.18,14398
1784,-35.56,14432
1786,-35.3,14462
1788,-35.23,14494
1790,-35.4,14527
1792,-36,14558
1794,-36.66,14591
1796,-37.63,14631
1798,-39.87,14673
1800,-38.97,14750
1802,-39.97,14822
1804,-40.18,14894
1806,-39.71,14963
1808,-38.82,15036
1810,-38.68,15104
1812,-39.29,15176
1814,-39.43,15254
1816,-39.39,15337
1818,-39.33,15422
1820,-39.55,15497
1822,-40.6,15580
1824,-40.5,15662
1826,-40.63,15746
1828,-41.13,15829
1830,-41.24,15908
1832,-40,15995
1834,-40.2,16077
1836,-40.16,16161
1838,-40.34,16236
1840,-40.13,16310
1842,-40.12,16391
1844,-41.25,16472
1846,-40.63,16553
1848,-40.68,16624
1850,-40.38,16702
1852,-39.57,16775
1854,-40.01,16847
1856,-40.81,16922
1858,-40.92,17004
1860,-40.76,17089
1862,-40.19,17173
1864,-39.97,17246
1866,-39.91,17336
1868,-40.53,17420
1870,-39.86,17510
1872,-40.22,17600
1874,-40.36,17692
1876,-40.34,17783
1878,-39.34,17882
1880,-39.3,17981
1882,-40.46,18078
1884,-39.39,18178
1886,-39.94,18279
1888,-39.72,18370
1890,-39.39,18476
1892,-39.81,18572
1894,-39.28,18677
1896,-39.33,18781
1898,-39.26,18889
1900,-39.33,18995
1902,-39.02,19088
1904,-38.71,19172
1906,-39.29,19255
1908,-39.92,19344
1910,-39.62,19428
1912,-39.01,19522
1914,-40.15,19620
1916,-39.15,19723
1918,-40.11,19820
1920,-39.51,19916
1922,-39.63,20013
1924,-39.98,20106
1926,-40.45,20195
1928,-40.56,20293
1930,-39.15,20387
1932,-39.49,20488
1934,-38.94,20583
1936,-40.05,20683
1938,-39.71,20792
1940,-40.81,20888
1942,-40.56,20998
1944,-40.53,21099
1946,-41.24,21201
1948,-41.38,21307
1950,-40.96,21411
1952,-40.87,21518
1954,-41.25,21633
1956,-40.71,21755
1958,-40.76,21878
1960,-40.96,21997.5
1962,-40.53,22100.5
1964,-39.8,22213.5
1966,-40.94,22321.5
1968,-40.26,22443
1970,-40.72,22557
1972,-40.74,22669
1974,-40.69,22777
1976,-39.16,22888
1978,-40.36,22990
1980,-40.62,23095
1982,-40.48,23209
1984,-38.31,23303
1986,-40.08,23406
1988,-41.58,23528
1990,-41.91,23656
1992,-41.93,23776
1994,-42.02,23896
1996,-42.74,24000
1998,-41.9,24115
2000,-41.71,24229
2002,-40.9,24363
2004,-40.8,24493
2006,-42.01,24615
2008,-42.1,24742
2010,-41.18,24872
2012,-40.05,24999
2014,-41.06,25126
2016,-40.86,25256
2018,-41.01,25388
2020,-42.18,25525
2022,-41.77,25662
2024,-40.61,25793
2026,-41.57,25935
2028,-40.36,26072
2030,-40.53,26204
2032,-40.87,26336
2034,-40.56,26475
2036,-41.01,26609
2038,-40.85,26730
2040,-39.81,26854
2042,-41.01,26980
2044,-40.57,27107
2046,-40.52,27239
2048,-40.91,27381
2050,-38.77,27521
2052,-37.91,27633
2054,-36.99,27736
2056,-39.57,27844
2058,-41.07,27987
2060,-41.31,28143
2062,-41.64,28287
2064,-40.41,28417
2066,-41.48,28540
2068,-39.97,28649
2070,-38.46,28751
2072,-38.18,28843
2074,-37.88,28941
2076,-40.22,29033
2078,-41.95,29149
2080,-41.28,29277
2082,-41.68,29399
2084,-42.23,29548
2086,-42.29,29706
2088,-42.35,29840
2090,-42.41,29967
2092,-42.59,30102
2094,-41.42,30233
2096,-41.72,30363
2098,-41.22,30498
2100,-41.14,30619
2102,-42.2,30745
2104,-42.24,30876
2106,-41.61,31008
2108,-42.14,31140
2110,-41.47,31267
2112,-41.75,31395
2114,-41.79,31521
2116,-40.51,31643
2118,-39.69,31768
2120,-39.26,31888
2122,-38.35,32003
2124,-37.66,32123
2126,-38.93,32245
2128,-41.61,32372
2130,-42.24,32506
2132,-42.23,32638
2134,-42.55,32777
2136,-43.05,32913
2138,-40.11,33044
2140,-39.11,33182
2142,-38.8,33319
2144,-38.22,33455
2146,-39.8,33587
2148,-41.23,33721
2150,-41.21,33856
2152,-40.86,33988
2154,-42.05,34120
2156,-41.84,34246
2158,-41.59,34377
2160,-40.43,34496
2162,-39.5,34591
2164,-40.01,34695
2166,-39.73,34792
2168,-38.88,34884
2170,-38.18,34972
2172,-38.63,35062
2174,-38.1,35147
2176,-38.63,35232
2178,-41.76,35324
2180,-41.73,35447
2182,-41.64,35571
2184,-42.96,35706
2186,-41.98,35827
2188,-42.09,35943
2190,-41.29,36061
2192,-40.96,36171
2194,-39.6,36274
2196,-39.11,36376
2198,-40.46,36481
2200,-40.37,36591
2202,-39.43,36709
2204,-38.22,36822
2206,-38.41,36927
2208,-38.7,37035
2210,-38.07,37143
2212,-38.06,37247
2214,-38.29,37359
2216,-37.91,37469
2218,-37.51,37574
2220,-37.55,37684
2222,-37.41,37804
2224,-37.73,37930
2226,-37.39,38062
2228,-37.15,38201
2230,-37.31,38320
2232,-40.58,38432
2234,-41.39,38565
2236,-41.34,38711
2238,-41.37,38871
2240,-41.39,39026
2242,-41.22,39183
2244,-40.79,39347
2246,-41.65,39513
2248,-41.67,39678
2250,-41.33,39852
2252,-40.24,40006
2254,-38.92,40134
2256,-40.47,40250
2258,-40.79,40371
2260,-40.99,40468
2262,-41.72,40562
2264,-40.61,40649
2266,-39.47,40737
2268,-38.62,40823
2270,-39.23,40916
2272,-38.67,41009
2274,-37.87,41091
2276,-40.32,41172
2278,-41.04,41274
2280,-41.45,41381
2282,-41.63,41497
2284,-40.58,41596
2286,-39.77,41695
2288,-39.69,41802
2290,-39.39,41908
2292,-38.61,42014
2294,-38.22,42115
2296,-38.58,42208
2298,-38.5,42309
2300,-38.16,42393
2302,-38.1,42486
2304,-41.55,42581
2306,-41.81,42713
2308,-41.7,42839
2310,-41.59,42967
2312,-41.22,43085
