Depth [m],d18O [permil],Age [yr BP]
2376,-39.62,46664
2378,-38.97,46788
2380,-38.44,46911
2382,-39.33,47026
2384,-38.83,47146
2386,-40.74,47245
2388,-39.48,47391
2390,-39.4,47529
2392,-39.77,47649
2394,-39.44,47767
2396,-39.73,47892
2398,-39.38,48021
2400,-39.2,48151
2402,-39.05,48279
2404,-39.46,48400
2406,-39.43,48532
2408,-39.25,48671
2410,-38.83,48795
2412,-38.91,48926
2414,-39.27,49057
2416,-38.24,49190
2418,-38.85,49320
2420,-38.26,49432
2422,-38.3,49541
2424,-38.05,49652
2426,-38.11,49768
2428,-38,49884
2430,-38.07,50002
2432,-37.93,50307.5
2434,-37.28,50470
2436,-37.59,50632.6
2438,-37.77,50795.1
2440,-37.76,50957.7
2442,-37.14,51120.2
2444,-37.11,51282.8
2446,-37.37,51445.3
2448,-36.79,51607.9
2450,-37.43,51770.4
2452,-37.22,51933
2454,-39.2,52134.7
2456,-40.33,52336.4
2458,-40.29,52538.1
2460,-38.07,52739.8
2462,-40.48,52941.5
2464,-38.29,53219.3
2466,-37.8,53497.2
2468,-39.32,53775.1
2470,-40.28,54052.9
2472,-40.17,54330.8
2474,-39.12,54584
2476,-38.63,54837.3
2478,-39.16,55090.5
2480,-38.85,55343.8
2482,-38.6,55597
2484,-38.53,55810.6
2486,-38.09,56024.2
2488,-37.39,56237.8
2490,-37.68,56451.4
2492,-38.72,56665
2494,-39.74,56883.6
2496,-39.21,57102.2
2498,-38.01,57320.8
2500,-37.27,57539.4
2502,-38.42,57758
2504,-38.69,57998.8
2506,-39.23,58239.6
2508,-41.22,58480.4
2510,-41.06,58721.2
2512,-40.47,58962
2514,-41.16,59219
2516,-40.92,59476
2518,-41.01,59733
2520,-41.22,59990
2522,-41.23,60247
2524,-42.06,60524.4
2526,-41.68,60801.8
2528,-41.45,61079.2
2530,-41.01,61356.6
2532,-39.86,61634
2534,-38.39,61869.8
2536,-41.56,62105.6
2538,-41.01,62341.4
2540,-41.37,62577.2
2542,-41.67,62813
2544,-41.84,63066.4
2546,-40.92,63319.8
2548,-41.38,63573.2
2550,-41.12,63826.6
2552,-41.87,64080
2554,-42.3,64411.2
2556,-42.08,64742.4
2558,-41.67,65073.6
2560,-40.94,65404.8
2562,-39.97,65736
2564,-42.46,66022.2
2566,-41.33,66308.4
2568,-40.27,66594.6
2570,-38.54,66880.8
2572,-38.22,67167
2574,-37.88,67421
2576,-37.69,67675
2578,-37.33,67929
2580,-36.86,68183
2582,-36.45,68437
2584,-41.72,68747.2
2586,-42.58,69057.4
2588,-43.26,69367.6
2590,-42.37,69677.8
2592,-39.48,69988
2594,-39.26,70304.2
2596,-38.57,70620.4
2598,-38.43,70936.6
2600,-38.19,71252.8
2602,-38.01,71569
2604,-37.67,71872
2606,-37.61,72175
2608,-36.83,72478
2610,-36.64,72750.7
2612,-40.8,73023.3
2614,-41.91,73296
2616,-42.05,73623.3
2618,-39.86,73950.7
2620,-38.89,74278
2622,-39.51,74598.3
2624,-38.97,74918.7
2626,-38.22,75239
2628,-38.22,75564
2630,-38.85,75889
2632,-38.72,76214
2634,-38.48,76521
2636,-38.58,76828
2638,-37.95,77135
2640,-38.04,77438.3
2642,-37.99,77741.7
2644,-37.65,78045
2646,-37.51,78372.8
2648,-37.33,78700.5
2650,-37.15,79028.3
2652,-37.29,79356
2654,-37.26,79726.7
2656,-37.13,80097.3
2658,-37.05,80468
2660,-36.81,80846.3
2662,-36.95,81224.7
2664,-36.62,81603
2666,-36.69,81991
2668,-36.72,82379
2670,-36.95,82767
2672,-36.39,83161.7
2674,-35.8,83556.3
2676,-38.41,83951
2678,-38.22,84368
2680,-39.15,84785
2682,-39.31,85202
2684,-39.69,85637.3
2686,-40.09,86072.7
2688,-40.57,86508
2690,-40.11,86961.3
2692,-38.75,87414.7
2694,-38.4,87868
2696,-38.34,88326.7
2698,-38.24,88785.3
2700,-37.76,89244
2702,-37.97,89700
2704,-39.04,90156
2706,-39.15,90618.4
2708,-39.43,91087.3
2710,-39.53,91556.1
2712,-39.58,92025
2714,-39.48,92520
2716,-39.64,93015
2718,-39.29,93510
2720,-39.19,94021.3
2722,-39,94532.7
2724,-38.82,95044
2726,-38.81,95553
2728,-38.87,96062
2730,-38.39,96571
2732,-38.02,97080
2734,-37.71,97576.5
2736,-37.6,98073
2738,-37.23,98546
2740,-37.15,99019
2742,-36.71,99451
2744,-36.57,99883
2746,-36.59,100263
2748,-38.44,100643
2750,-39.07,101030
2752,-38.79,101417
2754,-38.4,101799.5
2756,-38.28,102182
2758,-39.03,102564.5
2760,-38.35,102947
2762,-38.69,103334
2764,-38.13,103721
2766,-37.81,104108
2768,-36.9,104495
2770,-37.33,104858
2772,-36.41,105221
2774,-37.78,105584
2776,-38.23,105947
2778,-38.42,106310.3
2780,-38.23,106673.5
2782,-38.78,107036.8
2784,-38.89,107400
2786,-38.63,107764.3
2788,-38.44,108128.5
2790,-37.49,108492.8
2792,-37.57,108857
2794,-37.91,109027.8
2796,-37.92,109198.5
2798,-38.13,109369.3
2800,-37.45,109540
2802,-38.85,109899.3
2804,-36.9,110258.5
2806,-40.46,110617.8
2808,-40.35,110977
