Age,Deuterium,Temperature
3522.05103,-387.3,1.35
3540.56226,-394.6,0.15
3559.07617,-397.2,-0.29
3578.32837,-394.5,0.16
3598.29468,-399.5,-0.67
3617.72217,-389.9,0.92
3635.78711,-390.8,0.77
3653.85449,-394.4,0.17
3672.00122,-391.7,0.62
3690.64551,-389.2,1.03
3708.94678,-401.6,-1.02
3727.1001,-387.2,1.36
3745.50146,-387.8,1.26
3763.56421,-404.9,-1.57
3782.9856,-388.9,1.07
3802.25,-394.9,0.08
3821.60449,-393.8,0.26
3841.62109,-399.6,-0.7
3861.26953,-400.9,-0.92
3880.94751,-391,0.72
3900.47876,-396.1,-0.12
3919.72363,-398.5,-0.52
3939.896,-396.5,-0.19
3960.07056,-397.8,-0.41
3979.64185,-392.9,0.4
3999.41675,-398.7,-0.56
4019.15869,-398.9,-0.59
4037.8606,-390.6,0.78
4056.91699,-390.4,0.81
4076.0918,-402.3,-1.16
4095.42676,-389.9,0.89
4114.76318,-390.3,0.82
4134.00732,-398.8,-0.59
4153.67773,-397.8,-0.42
4173.31543,-394.9,0.06
4192.83838,-392.2,0.5
4212.36182,-404.7,-1.57
4231.44238,-391.2,0.67
4250.30615,-387.3,1.31
4269.17041,-396.4,-0.2
4288.05469,-387,1.36
4306.93359,-398.1,-0.48
4326.36182,-401.4,-1.03
4346.73633,-395.2,0
4367.11133,-393.4,0.29
4386.60889,-394.9,0.04
4406.00635,-397.1,-0.32
4425.51172,-400.6,-0.9
4445.25098,-393,0.35
4464.99072,-387.1,1.33
4483.77734,-397.5,-0.39
4502.65186,-390.4,0.78
4521.39404,-399.3,-0.7
4541.82617,-397.5,-0.4
4562.2583,-399.9,-0.8
4582.21631,-395,0.01
4601.92871,-394.1,0.16
4621.9917,-393.4,0.27
4641.60693,-398.4,-0.56
4661.22119,-395.1,-0.01
4680.94629,-396,-0.16
4701.09961,-397.3,-0.38
4720.87256,-389.3,0.94
4740.53955,-399.6,-0.76
4760.20654,-402.3,-1.21
4780.67578,-396.7,-0.28
4801.0752,-397.2,-0.37
4821.48047,-402,-1.16
4842.29346,-396.9,-0.32
4862.72705,-390.9,0.67
4882.10645,-393.4,0.25
4901.39893,-395.9,-0.16
4920.32568,-395.1,-0.03
4939.11084,-392.7,0.37
4958.24121,-389,0.98
4977.55811,-397.9,-0.5
4997.41162,-398.9,-0.66
5017.63135,-396.8,-0.32
5037.27734,-396.6,-0.29
5056.9209,-392.7,0.36
5077.15576,-400.6,-0.95
5097.24316,-396.3,-0.24
5117.65625,-395.6,-0.13
5136.65674,-393.3,0.25
5156.00537,-391.4,0.56
5174.81885,-391.3,0.58
5193.40039,-393.2,0.26
5212.32373,-397.6,-0.47
5232.35645,-395.8,-0.17
5253.08057,-403.1,-1.38
5273.03516,-396.3,-0.26
5292.75488,-390.6,0.69
5312.11328,-396,-0.21
5331.5127,-390.6,0.68
5350.51611,-396.3,-0.26
5369.94189,-394.5,0.03
5389.17773,-391.4,0.54
5408.76025,-407.6,-2.14
5430.22119,-401.2,-1.08
5452.77002,-402.4,-1.28
5474.10742,-395,-0.06
5495.14404,-402.5,-1.3
5516.06982,-407.9,-2.19
5538.56299,-399.6,-0.82
5560.64307,-394.6,0
5579.5249,-387.2,1.23
5597.93359,-396.2,-0.26
5617.146,-394,0.1
5636.84375,-399.1,-0.75
5656.90234,-395.2,-0.1
5676.67773,-396,-0.24
5696.82275,-400.4,-0.97
5716.83252,-391.1,0.57
5736.2915,-399.2,-0.77
5756.10742,-386.2,1.38
5774.45898,-398.9,-0.72
5793.03125,-389,0.91
5811.41699,-388.4,1.01
5830.54785,-400.4,-0.98
5849.67529,-392.7,0.29
5868.10498,-391,0.57
5886.7168,-392.5,0.32
5905.14307,-397.7,-0.54
5925.8252,-399.8,-0.89
5946.12646,-398.7,-0.71
5967.26807,-403.7,-1.54
5988.59326,-397.4,-0.5
6008.73047,-391.7,0.45
6027.92334,-394.5,-0.02
6047.11182,-396.8,-0.4
6066.76611,-399.2,-0.8
6086.92725,-394,0.06
6106.67334,-391.4,0.49
6126.71484,-403.5,-1.52
6146.75195,-389.5,0.8
6165.99609,-399.9,-0.93
6185.56348,-397.4,-0.51
6205.3252,-398.6,-0.71
6224.92188,-394.1,0.03
6244.90576,-398.4,-0.68
6265.25293,-401.7,-1.23
6285.96436,-392.6,0.27
6306.17871,-395.4,-0.19
6325.78125,-402.1,-1.3
6346.05469,-403.6,-1.55
6367.22217,-396.5,-0.38
6387.99365,-402.5,-1.37
6409.05469,-398.8,-0.76
6430.11035,-397,-0.47
6449.43555,-389.4,0.79
6468.30127,-395,-0.14
6487.40918,-404.9,-1.78
6508.77686,-402.2,-1.34
6530.53564,-389.2,0.81
6550.47754,-397,-0.48
6569.66113,-401.8,-1.27
6590.10791,-398.4,-0.71
6611.98047,-407.8,-2.27
6633.31201,-395.4,-0.22
6654.39893,-403.1,-1.5
6675.47266,-406.1,-2
6695.09766,-390.4,0.6
6714.92676,-392.6,0.23
6734.95068,-395.7,-0.28
6754.85059,-402.9,-1.47
6775.19922,-401.9,-1.31
6796.66455,-401.2,-1.2
6817.73438,-400.4,-1.07
6837.80859,-397.5,-0.59
6857.56445,-389.4,0.75
6876.75293,-395.4,-0.25
6894.72949,-387.9,0.99
6913.03467,-398.3,-0.73
6933.19678,-398.7,-0.8
6953.43799,-401.3,-1.23
6973.75098,-396.8,-0.49
6993.71631,-395.6,-0.29
7013.37988,-402.5,-1.44
7034.45752,-399.5,-0.94
7055.52197,-397.8,-0.66
7076.34229,-400.5,-1.11
7096.71631,-400.8,-1.16
7117.57666,-396.1,-0.39
7138.54639,-405.3,-1.91
7159.63916,-411.9,-3
7183.03809,-401.7,-1.32
7206.14893,-399.3,-0.93
7227.69482,-404.7,-1.82
7248.8374,-403.1,-1.56
7270.31396,-402.3,-1.43
7291.77637,-396.1,-0.4
7311.01465,-388.3,0.88
7329.80273,-398.5,-0.81
7349.2124,-406.3,-2.1
7370.96484,-399.9,-1.04
7392.32568,-404.7,-1.84
7414.37549,-403.8,-1.69
7436.4126,-395,-0.24
7457.46973,-402.8,-1.53
7477.94238,-404.2,-1.77
7498.46387,-399.1,-0.93
7518.73486,-393.3,0.03
7538.68262,-399.1,-0.93
7557.28027,-389.2,0.7
7576.21826,-397.7,-0.71
7595.2207,-388.4,0.83
7614.23779,-400.3,-1.14
7633.49609,-403.7,-1.71
7654.58057,-398.3,-0.82
7675.59277,-396.1,-0.46
7694.80908,-390.7,0.43
7713.66211,-404.7,-1.88
7733.28223,-400.2,-1.14
7753.18359,-388.5,0.79
7773.04932,-390.4,0.47
