###,Series metadata
written by,Pyleoclim 1.0.0b0
time_unit,kyr BP
time_name,Age
value_unit,ppm
value_name,$CO_2$
label,EPICA Dome C CO2
lat,
lon,
archiveType,
importedFrom,
log,"({0: 'clean_ts', 'applied': True, 'verbose': False},)"
###,end metadata
Age [kyr BP],$CO_2$ [ppm]
2.09336,276.9
2.23424,276.7
2.26555,276.7
2.41432,277.6
2.5261199999999997,277.9
2.62802,273.9
2.70848,278.9
2.8017600000000003,275.3
2.90455,274.7
2.94882,276.3
3.0566,274.6
3.2557300000000002,276.3
3.28366,273.1
3.43112,274.0
3.52829,275.0
3.64446,273.4
3.6934099999999996,273.0
3.80686,271.5
3.85617,275.4
3.96895,274.9
4.10867,271.7
4.20584,271.6
4.27508,272.8
4.34282,271.5
4.4943599999999995,271.1
4.59282,269.1
4.64746,269.8
4.773,271.5
4.9212,270.7
4.98158,269.3
5.08679,268.6
5.21857,269.8
5.31118,267.6
5.35755,265.3
5.53329,265.2
5.581300000000001,267.6
5.75761,265.9
5.85226,265.5
5.93409,260.7
5.99938,266.7
6.089810000000001,265.5
6.30196,263.2
6.33721,262.7
6.40124,261.2
6.57229,261.1
6.68255,259.4
6.7696499999999995,262.1
6.880310000000001,262.9
6.97008,258.1
7.038270000000001,257.6
7.18807,262.3
7.2740100000000005,263.0
7.40532,260.7
7.49787,258.4
7.66137,260.1
7.71959,260.4
7.860180000000001,259.7
7.9263699999999995,259.2
7.97585,260.8
8.11628,259.6
8.194799999999999,259.3
8.35188,258.3
8.45968,261.3
8.54658,260.7
8.71068,261.8
8.78128,259.0
8.911850000000001,260.9
8.992989999999999,260.4
9.06017,259.3
9.14301,262.0
9.295309999999999,263.7
9.361120000000001,263.8
9.4367,265.2
9.51806,260.6
9.52444,260.9
9.555860000000001,263.0
9.57327,263.8
9.90104,264.4
9.99261,264.2
10.1345,264.0
10.192950000000002,263.4
10.29955,265.7
10.36656,264.9
10.50555,267.5
10.68048,266.9
10.80181,266.0
10.83574,265.1
10.95448,267.6
11.08962,264.8
11.161059999999999,264.8
11.185870000000001,265.0
11.20058,265.3
11.25657,264.4
11.31698,264.1
11.33937,264.81
11.38316,264.84
11.39986,268.16
11.41745,264.48
11.43593,270.14
11.453059999999999,268.87
11.4728,269.1
11.490450000000001,267.17
11.50723,267.66
11.52393,269.51
11.5436,266.9
11.559610000000001,262.74
11.57641,267.09
11.59224,260.7
11.61131,261.3
11.628969999999999,266.22
11.647920000000001,257.13
11.66454,247.55
11.68282,254.62
11.70144,253.99
11.719719999999999,256.04
11.74065,255.89
11.75921,258.74
11.780719999999999,258.25
11.802790000000002,258.53
11.8205,257.17
11.84333,254.31
11.86312,253.63
11.88317,251.56
11.90491,255.9
11.92696,258.57
11.94809,248.92
11.96955,253.99
11.99069,255.39
12.0159,247.85
12.03732,248.41
12.0588,253.1
12.07985,251.03
12.10525,255.66
12.12458,253.02
12.1465,251.14
12.168479999999999,251.42
12.19041,250.97
12.21134,249.65
12.23292,249.23
12.25648,248.95
12.28077,249.38
12.30104,248.92
12.32128,250.73
12.34312,246.97
12.36528,244.31
12.388309999999999,243.0
12.409379999999999,246.4
12.43193,247.67
12.45482,245.83
12.475389999999999,246.18
12.49584,244.42
12.52135,246.74
12.543719999999999,249.92
12.564620000000001,244.27
12.5866,247.02
12.60764,248.09
12.629850000000001,246.94
12.65364,243.95
12.6739,242.53
12.69714,244.24
12.7198,241.59
12.73991,247.3
12.76258,240.02
12.78563,241.5
12.80927,242.23
12.83015,242.15
12.852709999999998,239.35
12.87398,241.24
12.893379999999999,239.44
12.917110000000001,238.79
12.93923,238.18
12.95975,240.71
12.980879999999999,237.15
13.001059999999999,239.42
13.02192,234.68
13.04369,238.86
13.06659,237.91
13.08822,241.56
13.12845,234.82
13.17267,236.91
13.2162,239.41
13.266969999999999,240.42
13.30415,236.86
13.4181,237.83
13.48674,240.25
13.53175,235.83
13.60081,243.86
13.64535,238.55
13.71283,241.59
13.75873,241.11
13.827200000000001,239.08
13.87157,237.95
13.94023,240.57
14.001790000000002,235.92
14.022860000000001,237.87
14.06009,241.27
14.08447,232.88
14.120059999999999,236.4
14.156600000000001,239.24
14.179549999999999,239.36
14.20556,238.36
14.23745,236.6
14.27302,240.21
14.29872,239.04
14.30861,235.8
14.34316,242.08
14.354479999999999,238.39
14.37499,240.33
14.4106,242.55
14.422229999999999,242.6
14.443280000000001,240.95
14.46358,238.61
14.497209999999999,242.06
14.520850000000001,241.14
14.5313,243.17
14.54166,235.83
14.55293,241.73
14.56352,239.86
14.57593,239.77
14.58619,237.97
14.595469999999999,235.31
14.606209999999999,237.59
14.61939,237.97
14.62999,240.1
14.6452,238.12
14.65226,234.62
14.66409,233.42
14.675120000000001,234.34
14.68637,237.49
14.69669,228.91
14.706959999999999,228.18
14.71812,230.53
14.730879999999999,234.54
14.74319,231.48
14.75852,227.9
14.76341,224.64
14.77628,227.39
14.78783,227.79
14.79914,228.5
14.81061,227.58
14.822389999999999,226.51
14.83475,228.4
14.84477,227.87
14.85753,233.17
14.86918,232.22
14.88066,227.85
14.89246,230.63
14.904209999999999,228.72
14.91591,228.36
14.929020000000001,228.47
14.95366,228.89
14.976479999999999,229.79
14.987260000000001,227.65
15.011479999999999,228.37
15.034780000000001,225.38
15.07253,228.99
15.09581,234.47
15.13353,229.67
15.15652,228.81
15.18111,227.84
15.218879999999999,230.18
15.24344,228.27
15.28074,225.77
15.32094,227.64
15.34524,228.92
15.382850000000001,225.39
15.41008,224.74
15.46293,223.27
15.5464,223.53
15.64943,222.76
15.704790000000001,222.16
15.76768,224.86
15.84495,222.36
15.92025,223.51
15.93652,223.77
15.99549,223.72
15.99898,224.41
16.01467,222.39
16.03378,224.48
16.083,224.24
16.11414,222.41
16.15121,224.86
16.16671,226.19
16.187459999999998,221.49
16.20871,227.32
16.22296,223.24
16.24056,220.49
16.26073,218.56
16.27874,214.22
16.29696,212.84
16.31743,214.6
16.33725,212.43
16.35423,214.83
16.37489,211.21
16.39189,209.51
16.410709999999998,212.95
16.43132,211.79
16.458380000000002,217.19
16.47203,213.94
16.50993,207.95
16.55351,208.65
16.59001,208.46
16.65588,213.15
16.73353,210.25
16.797549999999998,205.53
16.86932,205.19
16.92883,202.93
16.99477,204.32
17.091849999999997,202.1
17.163700000000002,198.63
17.23625,198.29
17.2879,195.88
17.31187,194.65
17.3605,190.5
17.3853,193.02
17.41003,191.89
17.43497,190.76
17.460990000000002,193.0
17.48529,191.48
17.51087,191.59
17.53459,192.37
17.56146,192.62
17.58625,196.96
17.612,195.79
17.637880000000003,193.21
17.66506,194.38
17.691209999999998,191.52
17.71705,189.52
17.74375,190.41
17.76971,191.7
17.79757,187.25
17.82543,191.21
17.854599999999998,189.52
17.881,190.26
17.90716,191.72
17.93599,188.54
17.96583,188.66
17.99204,188.96
18.02445,187.79
18.05009,187.73
18.081599999999998,188.64
18.11063,188.59
18.13976,184.88
18.17316,189.01
18.201790000000003,185.65
18.23218,188.88
18.264680000000002,188.52
18.295810000000003,189.03
18.32439,187.12
18.360349999999997,188.73
18.39116,188.21
18.42243,188.47
18.45783,187.45
18.48659,187.09
18.51999,187.67
18.582939999999997,188.57
18.677400000000002,193.9
18.747049999999998,191.27
18.803639999999998,192.97
18.835150000000002,188.44
18.86691,188.5
18.99382,192.71
19.15279,191.09
19.28216,191.58
19.44273,191.52
19.568150000000003,188.95
19.62949,191.42
19.79119,193.6
19.88388,196.06
20.0187,193.72
20.21331,190.47
20.4076,189.99
20.5368,193.93
20.666490000000003,187.76
20.82839,192.66
20.96443,190.87
21.06769,188.4
21.2127,190.05
21.34518,187.24
21.562849999999997,185.23
21.79059,187.96
21.91363,190.78
22.05559,187.38
22.23089,191.27
22.2922,187.22
22.3476,187.02
22.550099999999997,184.68
22.6041,185.21
22.6508,188.49
22.749299999999998,190.01
22.833599999999997,186.13
22.994,189.4
23.0138,190.53
23.1073,190.08
23.185,188.6
23.2767,197.67
23.358400000000003,193.53
23.4452,186.78
23.6005,187.99
23.8738,183.13
24.0777,184.68
24.2698,186.73
24.6436,180.57
25.1636,180.69
25.3511,182.66
25.543599999999998,183.38
25.786,186.54
26.016,184.52
26.2545,184.57
26.315,183.77
26.4607,186.01
26.5371,185.51
26.7037,185.44
26.8578,186.43
26.954900000000002,188.08
27.042,187.39
27.084799999999998,186.27
27.1702,194.93
27.280099999999997,190.06
27.4419,191.95
27.5028,191.23
27.5497,191.53
27.5864,191.95
27.6613,191.46
27.687,192.71
27.7141,190.61
27.7186,189.3
27.820700000000002,187.59
27.866400000000002,190.58
27.885,189.28
27.9271,188.99
27.973200000000002,189.29
28.0973,189.96
28.2141,191.82
28.2716,191.59
28.3697,192.63
28.4139,189.16
28.4269,189.65
28.5774,193.1
28.6264,192.82
28.7243,193.8
28.841900000000003,193.89
28.9027,192.69
28.9486,193.26
29.0089,192.87
29.1507,192.26
