Southern Oscillation Index (SOI),,
Date,Year,Value
197111,1971.833333,0.5
197112,1971.916667,0.3
197201,1972,0.5
197202,1972.083333,1.1
197203,1972.166667,0.6
197204,1972.25,-0.1
197205,1972.333333,-1.6
197206,1972.416667,-0.5
197207,1972.5,-1.4
197208,1972.583333,-0.5
197209,1972.666667,-1.4
197210,1972.75,-0.9
197211,1972.833333,-0.3
197212,1972.916667,-1.3
197301,1973,-0.3
197302,1973.083333,-1.4
197303,1973.166667,0.7
197304,1973.25,0.1
197305,1973.333333,0.4
197306,1973.416667,1.1
197307,1973.5,0.6
197308,1973.583333,1.3
197309,1973.666667,1.2
197310,1973.75,0.8
197311,1973.833333,2.6
197312,1973.916667,1.8
197401,1974,2.4
197402,1974.083333,2.1
197403,1974.166667,2.4
197404,1974.25,0.9
197405,1974.333333,1
197406,1974.416667,0.4
197407,1974.5,1.1
197408,1974.583333,0.8
197409,1974.666667,1.1
197410,1974.75,0.9
197411,1974.833333,-0.1
197412,1974.916667,0.2
197501,1975,-0.5
197502,1975.083333,0.8
197503,1975.166667,1.6
197504,1975.25,1.2
197505,1975.333333,0.6
197506,1975.416667,1.3
197507,1975.5,1.9
197508,1975.583333,2
197509,1975.666667,2.1
197510,1975.75,1.7
197511,1975.833333,1.2
197512,1975.916667,2.1
197601,1976,1.4
197602,1976.083333,1.7
197603,1976.166667,1.7
197604,1976.25,0.3
197605,1976.333333,0.4
197606,1976.416667,0.3
197607,1976.5,-0.9
197608,1976.583333,-0.8
197609,1976.666667,-1.1
197610,1976.75,0.4
197611,1976.833333,0.7
197612,1976.916667,-0.3
197701,1977,-0.4
197702,1977.083333,1.2
197703,1977.166667,-0.5
197704,1977.25,-0.4
197705,1977.333333,-0.5
197706,1977.416667,-0.9
197707,1977.5,-1.1
197708,1977.583333,-0.8
197709,1977.666667,-0.8
197710,1977.75,-1
197711,1977.833333,-1.3
197712,1977.916667,-1.1
197801,1978,-0.3
197802,1978.083333,-2.7
197803,1978.166667,-0.2
197804,1978.25,-0.3
197805,1978.333333,1.4
197806,1978.416667,0.7
197807,1978.5,0.6
197808,1978.583333,0.4
197809,1978.666667,0.1
197810,1978.75,-0.4
197811,1978.833333,0
197812,1978.916667,-0.1
197901,1979,-0.4
197902,1979.083333,1
197903,1979.166667,0.1
197904,1979.25,-0.1
197905,1979.333333,0.5
197906,1979.416667,0.6
197907,1979.5,1.3
197908,1979.583333,-0.2
197909,1979.666667,0.1
197910,1979.75,-0.1
197911,1979.833333,-0.4
197912,1979.916667,-0.7
198001,1980,0.4
198002,1980.083333,0.3
198003,1980.166667,-0.4
198004,1980.25,-0.6
198005,1980.333333,0
198006,1980.416667,0
198007,1980.5,0
198008,1980.583333,0.4
198009,1980.666667,-0.5
198010,1980.75,0
198011,1980.833333,-0.3
198012,1980.916667,-0.1
198101,1981,0.4
198102,1981.083333,-0.2
198103,1981.166667,-1.3
198104,1981.25,-0.1
198105,1981.333333,0.8
198106,1981.416667,1.2
198107,1981.5,0.8
198108,1981.583333,0.7
198109,1981.666667,0.3
198110,1981.75,-0.4
198111,1981.833333,0.2
198112,1981.916667,0.5
198201,1982,1.2
198202,1982.083333,0.3
198203,1982.166667,0.6
198204,1982.25,0.1
198205,1982.333333,-0.3
198206,1982.416667,-1
198207,1982.5,-1.5
198208,1982.583333,-1.7
198209,1982.666667,-1.7
198210,1982.75,-1.7
198211,1982.833333,-2.6
198212,1982.916667,-2.2
198301,1983,-3.5
198302,1983.083333,-3.6
198303,1983.166667,-2.4
198304,1983.25,-0.9
198305,1983.333333,0.6
198306,1983.416667,0
198307,1983.5,-0.6
198308,1983.583333,0.1
198309,1983.666667,0.9
198310,1983.75,0.4
198311,1983.833333,-0.1
198312,1983.916667,0
198401,1984,0.2
198402,1984.083333,0.9
198403,1984.166667,-0.2
198404,1984.25,0.3
198405,1984.333333,0.2
