# International Chronostratigraphic Chart (ICS)
# Constructed from the Turtle file at: https://github.com/i-c-stratigraphy/chart/blob/main/chart.ttl
# Date of last update of Turtle file: 2024-11-24
# Source: International Commission on Stratigraphy (ICS), chart.ttl (SKOS/RDF ontology)
#
# Notes:
# - Units: All boundary values are in millions of years ago (Ma).
# - Columns included: 'Type', 'Name', 'Abbrev', 'Color', 'UpperBoundary', 'LowerBoundary'.
# - Colors: official ICS chart hexadecimal colors.
# - Abbreviations: from ICS skos:notation or custom overrides.
#
Rank,Name,Abbrev,Color,UpperBoundary,LowerBoundary
Stage,Santonian,k4,#D9EF74,83.6,85.7
Stage,Coniacian,k3,#CCE968,85.7,89.8
Stage,Turonian,k2,#BFE35D,89.8,93.9
Stage,Cenomanian,k1,#B3DE53,93.9,100.5
Stage,Albian,b6,#CCEA97,100.5,113.2
Stage,Aptian,b5,#BFE48A,113.2,121.4
Stage,Barremian,b4,#B3DF7F,121.4,125.77
Stage,Hauterivian,b3,#A6D975,125.77,132.6
Stage,Valanginian,b2,#99D36A,132.6,137.05
Stage,Berriasian,b1,#8CCD60,137.05,143.1
Stage,Tithonian,j7,#D9F1F7,143.1,149.2
Stage,Kimmeridgian,j6,#CCECF4,149.2,154.8
Stage,Oxfordian,j5,#BFE7F1,154.8,161.5
Stage,Callovian,j4,#BFE7E5,161.5,165.3
Stage,Bathonian,j3,#B3E2E3,165.3,168.2
Stage,Bajocian,j2,#A6DDE0,168.2,170.9
Stage,Aalenian,j1,#9AD9DD,170.9,174.7
Stage,Toarcian,I4,#99CEE3,174.7,184.2
Stage,Pliensbachian,I3,#80C5DD,184.2,192.9
Stage,Sinemurian,I2,#67BCD8,192.9,199.5
Stage,Hettangian,I1,#4EB3D3,199.5,201.4
Stage,Rhaetian,t7,#E3B9DB,201.4,205.7
Stage,Norian,t6,#D6AAD3,205.7,227.3
Stage,Carnian,t5,#C99BCB,227.3,237.0
Stage,Ladinian,t4,#C983BF,237.0,241.464
Stage,Anisian,t3,#BC75B7,241.464,246.7
Stage,Olenekian,t2,#B051A5,246.7,249.9
Stage,Induan,t1,#A4469F,249.9,251.902
Stage,Changhsingian,p9,#FCC0B2,251.902,254.14
Stage,Wuchiapingian,p8,#FCB4A2,254.14,259.51
Stage,Capitanian,p7,#FB9A85,259.51,264.28
Stage,Wordian,p6,#FB8D76,264.28,266.9
Stage,Roadian,p5,#FB8069,266.9,274.4
Stage,Kungurian,p4,#E38776,274.4,283.3
Stage,Artinskian,p3,#E37B68,283.3,290.1
Stage,Sakmarian,p2,#E36F5C,290.1,293.52
Stage,Asselian,p1,#E36350,293.52,298.9
Stage,Gzhelian,c7,#CCD4C7,298.9,303.7
Stage,Kasimovian,c6,#BFD0C5,303.7,307.0
Stage,Moscovian,c5,#B3CBB9,307.0,315.2
Stage,Bashkirian,c4,#99C2B5,315.2,323.4
Stage,Serpukhovian,c3,#BFC26B,323.4,330.3
Stage,Visean,c2,#A6B96C,330.3,346.7
Stage,Tournaisian,c1,#8CB06C,346.7,358.86
Stage,Famennian,d7,#F2EDB3,358.86,372.15
Stage,Frasnian,d6,#F2EDAD,372.15,382.31
Stage,Givetian,d5,#F1E185,382.31,387.95
Stage,Eifelian,d4,#F1D576,387.95,393.47
Stage,Emsian,d3,#E5D075,393.47,410.62
Stage,Pragian,d2,#E5C468,410.62,413.02
Stage,Lochkovian,d1,#E5B75A,413.02,419.62
Stage,Pridoli,S4,#E6F5E1,419.62,422.7
Stage,Ludfordian,s7,#D9F0DF,422.7,425.0
Stage,Gorstian,s6,#CCECDD,425.0,426.7
Stage,Homerian,s5,#CCEBD1,426.7,430.6
Stage,Sheinwoodian,s4,#BFE6C3,430.6,432.9
Stage,Telychian,s3,#BFE6CF,432.9,438.6
Stage,Aeronian,s2,#B3E1C2,438.6,440.5
Stage,Rhuddanian,s1,#A6DCB5,440.5,443.1
Stage,Hirnantian,o7,#A6DBAB,443.1,445.2
Stage,Katian,o6,#99D69F,445.2,452.8
Stage,Sandbian,o5,#8CD094,452.8,458.2
Stage,Darriwilian,o4,#74C69C,458.2,469.4
Stage,Dapingian,o3,#66C092,469.4,471.3
Stage,Floian,o2,#41B087,471.3,477.1
Stage,Tremadocian,o1,#33A97E,477.1,486.85
Stage,Stage 10,ep10,#E6F5C9,486.85,491.0
Stage,Jiangshanian,ep9,#D9F0BB,491.0,494.2
Stage,Paibian,ep8,#CCEBAE,494.2,497.0
Stage,Guzhangian,ep7,#CCDFAA,497.0,500.5
Stage,Drumian,ep6,#BFD99D,500.5,504.5
Stage,Wuliuan,ep5,#B3D492,504.5,506.5
Stage,Stage 4,ep4,#B3CA8E,506.5,514.5
Stage,Stage 3,ep2,#A6C583,514.5,521.0
Stage,Stage 2,ep3,#A6BA80,521.0,529.0
Stage,Fortunian,ep1,#99B575,529.0,538.8
Sub-Period,Pennsylvanian,C2,#7EBCC6,298.9,323.4
Sub-Period,Mississippian,C1,#678F66,323.4,358.86
Super-Eon,Precambrian,PE,#F74370,538.8,4567.0
