Tuned time [Ma],Foram bent δ13C [‰ PDB] (VPDB),Foram bent δ18O [‰ PDB] (VPDB)
3.981604,0.29,2.38
3.984269,1.18,2.06
3.987749,0.97,2.36
3.988332,0.71,2.53
3.990014,0.84,2.31
3.991228,1.07,2.72
3.998423,0.56,2.33
4.001667,1.14,2.41
4.003048,0.19,2.26
4.005146,1.19,2.38
4.006832,1.07,2.11
4.007673,0.9,1.88
4.008626,1.1,2.18
4.0116,1.09,2.21
4.014243,1.12,2.27
4.014621,0.77,2.21
4.017679,0.58,2.25
4.019451,1.03,2.29
4.021204,0.83,2.08
4.023161,0.86,2.28
4.025463,0.75,2.2
4.026872,0.94,2.37
4.029662,0.74,2.27
4.030451,0.7,2.42
4.033566,-0.07,2.44
4.033853,1.05,2.39
4.039165,0.91,2.85
4.042534,0.81,2.71
4.043348,0.74,2.07
4.045899,0.81,2.52
4.049264,1.02,2.57
4.049435,1.05,2.01
4.052629,1.01,2.44
4.055522,0.69,2.26
4.05936,1.02,2.59
4.061591,0.75,2.11
4.062675,0.94,2.45
4.065945,1.03,2.61
4.071678,0.88,2.14
4.075751,1.0,2.62
4.076722,0.66,2.28
4.07902,1.03,2.48
4.081765,0.99,2.24
4.082289,0.84,2.52
4.085558,0.63,2.51
4.088827,0.86,2.36
4.091852,0.78,2.2
4.09275,0.94,2.43
4.095388,0.83,2.52
4.0969,0.66,2.4
4.098864,0.93,2.38
4.101685,0.78,2.14
4.102338,0.95,2.58
4.105813,0.71,2.13
4.106375,0.75,2.24
4.108616,1.18,2.48
4.110182,0.8,2.23
4.11138,1.03,2.62
4.11936,0.53,2.27
4.121021,0.94,2.54
4.124748,1.08,2.21
4.125525,0.9,2.11
4.131975,0.83,2.17
4.132519,0.97,2.59
4.136473,0.64,1.87
4.138566,0.56,2.2
4.140545,1.25,2.58
4.144634,0.98,2.32
4.145329,0.23,2.25
4.148161,0.83,2.46
4.149017,0.44,2.17
4.150914,1.01,2.25
4.15122,0.97,2.04
4.153422,0.52,2.39
4.153667,0.98,2.3
4.155625,0.8,2.34
4.15642,1.0,2.14
4.157827,0.95,2.21
4.159174,0.61,2.08
4.160029,0.71,1.96
4.161586,0.99,2.39
4.163853,1.02,2.36
4.16648,0.77,2.09
4.168387,1.04,2.17
4.168631,0.74,2.12
4.170653,1.17,2.29
4.170781,0.8,2.07
4.172932,0.75,2.2
4.173006,1.0,2.28
4.175703,0.92,2.36
4.176969,0.66,2.07
4.178765,0.88,2.27
4.182164,0.94,2.6
4.182313,0.3,2.09
4.185564,0.86,2.35
4.187467,0.41,2.29
4.190754,1.17,2.64
4.191214,0.55,2.47
4.194961,0.41,2.19
4.197894,0.6,2.24
4.198649,0.71,2.22
4.200084,0.56,2.04
4.204447,0.6,2.42
4.205519,0.71,2.12
4.206628,0.52,2.33
4.208772,0.56,1.64
4.20881,0.33,2.34
4.211987,0.75,2.56
4.212445,0.37,2.14
4.215115,0.51,2.22
4.218026,0.53,2.0
4.220024,0.71,1.99
4.221072,0.62,2.2
4.2244,0.56,2.21
4.226084,0.88,2.27
4.227727,0.71,2.43
4.229528,0.53,2.49
4.230773,0.78,2.19
4.231125,0.57,2.27
4.233258,0.8,2.38
4.235392,0.78,2.54
4.235796,0.84,2.18
4.238333,0.84,2.23
4.241257,0.89,2.27
4.242639,0.85,2.19
4.242991,0.97,2.57
4.244711,0.95,2.15
4.246093,0.89,2.13
4.248166,0.68,2.14
4.2488,0.86,2.51
4.251579,0.89,3.0
4.252902,0.86,2.33
4.256122,0.76,2.23
4.260943,0.63,2.24
4.260952,1.0,2.2
4.264143,0.74,2.22
4.265488,0.94,2.47
4.267497,0.87,2.34
4.274206,0.82,2.2
4.278073,0.98,2.69
4.278846,1.13,2.1
4.278846,0.59,2.36
4.2821,0.61,2.18
4.283903,0.83,2.29
4.283903,0.86,2.28
4.288786,0.32,1.91
4.288786,0.91,2.31
4.289814,0.95,2.39
4.292364,1.03,2.35
4.292364,0.9,2.21
4.293671,0.97,2.21
4.295942,1.14,2.11
4.295942,0.97,2.19
4.301251,0.96,2.45
4.303075,0.67,2.36
4.305575,0.51,2.27
4.308075,0.86,2.25
4.310576,0.78,1.92
4.313053,0.83,2.17
4.316579,0.58,1.96
4.321867,0.51,2.29
4.324514,0.86,2.32
4.32881,0.96,2.19
4.336554,0.75,2.39
4.338679,0.95,2.13
4.341772,0.78,2.21
4.344586,1.0,2.25
4.346608,0.74,1.93
4.347995,0.91,2.13
4.350825,1.08,2.11
4.351216,0.95,2.07
4.354436,0.79,1.97
4.355036,0.65,1.78
4.357391,0.89,2.17
4.358831,0.86,2.11
4.36029,0.67,2.15
4.361942,,2.92
4.362626,0.85,2.15
4.363188,0.61,2.22
4.364841,0.9,2.2
4.36571,0.91,2.3
4.366158,0.55,2.57
4.366504,0.55,1.85
4.369148,,3.02
4.370722,0.94,2.52
4.371058,0.62,2.24
4.371404,1.0,2.43
4.374394,-0.1,3.18
4.375611,0.82,1.96
4.375968,,2.85
4.37665,1.06,2.27
4.37964,,3.11
4.380165,0.72,2.24
4.381214,,2.92
4.381896,1.01,2.16
4.384718,0.72,1.79
4.384887,,3.03
4.38646,,2.55
4.387143,1.02,2.21
4.389272,0.4,2.32
4.390133,-0.02,3.04
4.3916,1.24,2.38
4.391707,,2.63
4.392388,1.14,2.31
4.393826,0.49,2.12
4.3952,1.09,2.55
4.395379,1.05,2.22
4.396953,,2.67
4.397635,0.81,2.26
4.398378,0.3,1.88
4.4004,0.99,2.25
4.400625,1.08,1.8
4.402199,,2.59
4.402881,1.24,2.45
4.402932,0.84,1.71
4.404399,1.08,2.44
4.405872,,2.6
4.40659,1.04,2.17
4.406921,1.06,2.3
4.407485,0.88,2.28
4.408128,1.04,2.29
4.4084,0.92,2.31
4.411118,1.06,1.97
4.412039,0.77,1.86
4.412167,0.91,1.67
4.413188,0.82,2.32
4.413374,1.09,2.28
4.416382,0.96,1.86
4.416623,0.71,1.77
4.417484,,2.35
4.418751,1.17,2.0
4.41936,0.99,2.28
4.421403,0.63,2.1
4.421891,,2.16
4.42272,1.03,2.11
4.422993,,2.69
4.424259,0.86,2.18
4.42608,1.26,2.17
4.426185,0.67,2.01
4.42664,0.77,2.02
4.4274,,2.36
4.428501,1.12,2.01
4.429768,0.99,2.08
4.42986,1.34,2.32
4.430965,0.72,1.85
4.432908,,2.67
4.433375,1.01,2.13
4.434561,0.41,
4.435277,1.14,2.45
4.435319,1.15,2.11
4.435747,0.39,1.75
4.437618,,2.94
4.43826,0.91,2.24
4.438837,0.92,2.2
4.439193,1.04,2.01
4.43952,,2.49
4.439671,,2.15
4.439704,1.1,2.21
4.4418,1.0,2.08
4.441947,,2.59
4.442936,0.22,2.24
4.443639,1.11,2.24
4.445315,0.86,2.29
4.4454,1.08,2.02
4.445881,,2.93
4.44635,0.63,2.23
4.446726,,2.24
4.447574,1.05,2.46
4.4478,,2.76
4.449765,0.85,2.0
4.449817,,2.65
4.4505,0.96,2.47
4.451509,1.05,2.26
4.4517,0.52,2.49
4.453181,0.78,1.93
4.453751,,2.7
4.453898,0.92,2.32
4.455,0.94,2.58
4.455551,1.16,2.27
4.456984,0.69,2.08
4.460442,1.0,2.32
4.460773,0.83,2.12
4.461228,0.72,2.32
4.463203,0.56,2.1
4.463229,-0.18,2.66
4.463949,,2.98
4.465332,0.91,2.21
4.465473,0.45,2.17
4.465994,0.91,1.78
4.46812,0.69,2.23
4.468797,1.14,2.18
4.469718,0.78,2.26
4.472153,0.91,2.52
4.473962,0.69,2.0
4.475554,1.03,2.16
4.477355,0.95,2.43
4.477819,1.04,2.21
4.478042,0.67,2.15
4.478168,,2.3
4.47925,1.17,2.22
4.479884,0.16,
4.480267,0.97,2.16
4.481571,1.05,2.33
4.4817,0.68,2.04
4.483108,1.07,2.47
4.4841,0.22,2.26
4.485359,0.85,1.89
4.485786,1.17,2.32
4.48825,1.13,2.27
4.488316,0.97,2.07
4.488824,0.86,2.23
4.490002,1.15,2.54
4.492107,0.98,2.58
4.492452,0.97,1.77
4.492531,,2.66
4.492677,0.82,2.08
4.493714,1.11,2.41
4.497101,0.27,2.19
4.497379,1.04,2.0
4.497747,0.88,2.1
4.498032,,2.92
4.500399,1.08,2.48
4.502044,1.09,2.5
4.502854,,2.56
4.503086,1.12,2.48
4.503766,1.0,1.83
4.504376,0.34,2.11
4.507027,1.12,2.32
4.50814,1.16,2.2
4.508607,0.55,1.75
4.508811,1.02,2.18
4.511004,,2.71
4.513194,1.05,2.45
4.513656,1.04,2.69
4.51436,,2.75
4.517112,0.99,2.13
4.517633,,2.68
4.518247,1.05,2.18
4.518801,0.88,2.54
4.519936,0.52,2.01
4.521262,1.04,2.28
4.523301,1.08,2.3
4.524261,0.91,2.18
4.525334,0.48,1.8
4.525413,1.04,2.41
4.526912,1.2,2.53
4.530591,1.06,2.35
4.530733,0.78,2.13
4.530889,,2.93
4.533409,0.85,2.29
4.53354,1.3,2.56
4.535558,1.01,2.65
4.535883,0.79,2.31
4.53613,0.77,2.01
4.537518,,2.97
4.538463,0.9,2.28
4.541174,0.99,2.02
4.541741,0.45,1.93
4.543163,,2.76
4.543241,0.84,2.11
4.544739,1.12,2.24
4.545363,1.0,2.06
4.547103,0.75,1.74
4.547379,0.85,1.96
4.547944,0.75,1.93
4.54868,1.27,2.49
4.550443,0.82,2.56
4.551045,1.02,1.95
4.551518,0.78,1.98
4.55262,1.06,2.29
4.552858,0.95,2.07
4.553485,,2.39
4.554097,0.81,2.2
4.554938,,2.73
4.555575,0.88,1.98
4.556438,0.99,2.42
4.55648,1.08,2.19
4.558199,0.44,
4.558727,0.95,2.05
4.559065,-0.14,2.55
4.559371,,2.44
4.560046,0.93,2.08
4.560544,0.39,1.9
4.562441,,2.64
4.563454,0.77,2.18
4.563613,0.62,2.14
4.563674,0.79,2.67
4.566194,,2.79
4.566448,0.52,2.22
4.567054,0.85,2.32
4.567297,0.84,2.21
4.567526,0.77,2.47
4.568427,0.68,2.74
4.568962,0.57,2.64
4.569227,0.87,2.42
4.569518,1.0,2.47
4.57027,0.78,2.36
4.570362,1.01,2.67
4.571341,0.68,2.35
4.5714,,2.73
4.571981,0.91,2.14
4.572063,,2.87
4.573197,1.08,2.24
4.573243,0.87,1.81
4.57372,0.84,2.19
4.574373,0.95,2.27
4.574443,0.95,2.12
4.574899,,2.87
4.576034,1.32,2.62
4.576097,0.51,1.99
4.576216,,3.18
4.576907,0.67,2.05
4.577346,0.88,2.15
4.577735,0.98,1.54
4.578593,,2.33
4.578741,0.81,2.02
4.579804,1.03,1.97
4.579804,1.04,2.15
4.580889,0.89,2.4
4.581202,,2.78
4.581555,0.82,2.03
4.582615,1.21,2.47
4.582984,1.08,2.22
4.583185,1.01,2.18
4.584518,0.84,2.12
4.584734,1.12,2.17
4.586148,0.95,2.61
4.586162,1.06,2.09
4.586889,0.89,2.14
4.587736,0.73,2.28
4.589207,1.06,2.04
4.589565,1.23,2.49
4.590333,0.78,1.77
4.591505,0.5,1.92
4.59157,0.93,2.07
4.592346,0.8,1.9
4.593667,0.61,1.85
4.594737,1.08,2.28
4.595381,0.58,1.88
4.595648,0.88,1.96
4.59603,0.85,2.07
4.597,0.73,1.98
4.59797,,2.6
4.598949,0.83,2.22
4.59919,0.88,2.31
4.600333,0.82,1.98
4.601202,,2.65
4.601476,0.63,2.02
4.60225,0.49,2.31
4.603,,3.11
4.603667,0.48,1.79
4.605551,0.52,2.43
4.605727,1.1,2.82
4.60681,0.72,2.2
4.607,0.61,2.16
4.607667,,2.98
4.608852,0.95,2.17
4.609011,0.82,2.35
4.609072,,3.13
4.610333,0.22,2.15
4.611036,,3.08
4.612534,0.88,2.33
4.612855,1.06,2.59
4.614607,,3.26
4.615584,,2.92
4.616935,0.74,2.18
4.619117,0.74,1.87
4.620131,,2.95
4.620374,0.67,2.04
4.621334,0.36,1.7
4.623628,0.87,1.93
4.624677,,2.77
4.625734,,2.9
4.626496,0.93,2.21
4.628137,0.93,2.13
4.629224,0.97,1.83
4.630134,0.7,2.13
4.630361,0.89,2.19
4.631042,0.99,2.53
4.632647,0.99,2.14
4.633771,0.76,1.96
4.634482,1.04,2.21
4.635436,0.7,2.21
4.636851,0.81,2.15
4.6379,,2.62
4.638458,0.47,1.61
4.63966,0.65,1.99
4.640926,,2.89
4.641644,1.07,2.13
4.642008,,2.57
4.643651,0.9,2.39
4.644669,0.75,1.99
4.645913,0.86,2.18
4.646441,,1.82
4.647204,0.92,2.35
4.648333,0.76,2.27
4.649273,0.79,2.18
4.649679,0.36,2.58
4.650617,0.6,2.36
4.651667,0.78,2.32
4.652154,0.86,2.02
4.652634,0.97,2.37
4.653703,,3.05
4.654314,0.99,2.63
4.654629,0.84,2.39
4.655,0.48,2.3
4.655994,,2.61
4.65721,0.63,1.99
4.65721,0.85,2.31
4.6586,0.64,2.16
4.660156,0.76,1.99
4.660745,0.92,2.12
4.661933,0.83,2.49
4.662601,0.72,1.97
4.66428,0.98,2.17
4.664339,0.77,2.22
4.6646,,2.69
4.6666,0.49,1.75
4.667815,0.81,1.97
4.669045,,2.43
4.670823,0.55,2.45
4.67135,,2.66
4.673489,,2.56
4.673801,0.92,1.99
4.674254,0.35,1.94
4.674885,1.08,2.05
4.675267,0.97,2.25
4.677934,,2.25
4.67842,0.97,2.14
4.6786,,2.61
4.679711,0.66,2.38
4.682232,0.54,2.3
4.682384,0.81,1.9
4.682751,0.86,2.3
4.68356,0.48,2.03
4.684206,0.73,2.14
4.686797,0.67,2.23
4.686938,,2.68
4.687125,0.85,2.19
4.688759,1.14,2.48
4.69136,,2.71
4.691491,,2.95
4.691501,0.8,2.37
4.692149,0.69,2.15
4.695923,,2.88
4.696045,,2.7
4.700251,0.92,2.41
4.700486,0.65,2.03
4.700599,,2.84
4.700736,0.59,2.16
4.701327,,2.86
4.702421,1.14,2.53
4.70459,0.99,2.27
4.704632,0.78,1.84
4.705078,1.05,2.07
4.705141,0.64,2.32
4.705369,,2.98
4.708623,,2.63
4.70952,,2.54
4.709603,,2.48
4.709703,0.95,2.28
4.712653,,2.45
4.713404,0.71,2.13
4.713671,0.99,1.73
4.714128,,2.32
4.714263,0.38,2.24
4.716685,,2.63
4.71779,,2.71
4.718825,0.62,2.28
4.720716,,2.55
4.721974,0.69,2.19
4.722176,0.78,1.98
4.723385,0.81,1.88
4.724747,0.81,2.2
4.726562,0.85,2.32
4.728476,,2.97
4.729124,,2.99
4.729753,0.98,1.89
4.730316,0.89,2.23
4.731167,0.55,1.91
4.731757,0.42,1.86
4.733211,,3.08
4.734,0.87,2.48
4.735039,1.09,2.45
4.735252,0.73,2.27
4.737296,,3.01
4.737684,0.79,
4.73832,1.08,2.12
4.739339,0.69,1.88
4.741368,1.02,2.28
4.741382,,2.7
4.741588,1.23,2.06
4.743425,-0.07,2.11
4.744849,1.18,2.16
4.745053,1.08,2.42
4.745468,0.32,2.11
4.747511,0.43,2.19
4.748118,1.17,2.12
4.748793,1.07,2.24
4.749687,,2.7
4.750882,,2.48
4.751918,0.67,2.4
4.752762,1.04,2.16
4.754151,0.51,1.84
4.754638,0.11,
4.756323,0.76,1.57
4.756382,0.65,2.08
4.75673,0.96,2.09
4.758394,1.03,2.12
4.758615,0.81,2.05
4.760524,1.1,2.03
4.760698,0.19,1.9
4.762682,0.25,2.07
4.764667,0.54,2.09
4.764667,0.81,2.38
4.765906,-0.19,
4.76665,0.49,2.24
4.768635,-0.43,1.74
4.768992,,2.57
4.769661,,2.95
4.769825,0.4,2.22
4.772603,0.62,2.52
4.772603,0.64,2.22
4.773149,0.69,2.15
4.773334,,3.18
4.774742,0.61,2.59
4.77585,0.79,2.33
4.776219,0.73,2.42
4.776461,-0.08,
4.777116,0.69,2.11
4.779017,0.68,2.43
4.77929,1.01,2.2
4.779491,0.83,2.32
4.780468,0.94,2.1
4.781172,0.77,2.45
4.781867,0.78,2.18
4.782183,1.01,2.44
4.782362,1.15,2.27
4.782745,1.15,2.04
4.784241,,2.47
4.785152,0.79,2.32
4.78535,0.92,2.24
4.785432,1.08,2.25
4.787655,0.7,2.21
4.788503,1.16,2.28
4.788517,0.99,2.17
4.788991,,2.83
4.789029,1.2,2.2
4.791233,0.8,2.08
4.791367,0.08,2.78
4.791573,1.1,2.11
4.791683,,2.98
4.792172,1.25,2.22
4.792922,0.59,2.36
4.794482,0.71,2.24
4.794687,0.98,1.95
4.794869,,2.88
4.795335,0.04,
4.796043,0.63,2.31
4.796979,0.61,2.0
4.797602,,2.47
4.797934,1.15,2.17
4.798058,0.95,2.25
4.798499,0.29,
4.798513,0.9,1.93
4.799163,0.65,2.56
4.80118,1.02,2.1
4.801246,0.93,2.45
4.801347,,2.68
4.801662,0.32,
4.802303,1.0,2.19
4.803219,0.75,2.55
4.803843,0.45,2.28
4.804427,1.06,2.22
4.804435,0.85,2.3
4.804826,0.34,
4.805403,,2.54
4.806091,0.99,2.34
4.806963,0.51,2.1
4.807623,0.96,2.54
4.807672,0.92,2.33
4.807989,1.05,2.16
4.80946,,2.66
4.80988,0.95,2.29
4.810084,0.57,1.98
4.810812,0.99,2.56
4.810919,0.65,1.7
4.811644,0.67,1.9
4.813203,0.16,2.39
4.813669,,2.37
4.814,,3.27
4.814121,1.0,2.26
4.814281,0.18,
4.815684,0.44,2.32
4.816301,-0.45,2.54
4.816905,0.89,2.39
4.817084,0.2,
4.817158,1.07,2.41
4.817649,0.62,2.06
4.817847,,2.85
4.819392,,2.35
4.819689,1.07,2.19
4.819889,0.4,
4.820316,1.15,2.35
4.821631,,3.42
4.821864,,2.93
4.822482,0.73,2.54
4.823474,1.16,2.3
4.824955,,3.12
4.825257,1.23,2.05
4.825497,0.1,
4.825611,0.94,2.23
4.826632,1.07,2.25
4.828042,1.17,2.07
4.828045,,2.7
4.828662,,2.64
4.829592,0.87,1.91
4.82979,0.94,2.09
4.830208,,2.41
4.830826,1.1,2.05
4.831105,0.2,
4.831135,,2.98
4.832947,0.93,2.11
4.833298,0.41,2.47
4.833573,0.9,1.93
4.83361,1.1,1.98
4.83391,0.23,
4.834844,0.5,2.69
4.836105,0.76,2.1
4.836394,1.13,2.05
4.836714,0.22,
4.837555,0.74,2.17
4.837934,0.83,2.12
4.839179,0.97,1.94
4.839263,0.81,2.27
4.839518,0.08,
4.841333,0.78,2.47
4.841963,,2.59
4.842421,0.74,2.32
4.842883,0.07,
4.844747,0.98,2.37
4.845517,0.71,2.24
4.846192,0.08,3.09
4.847531,,3.01
4.847651,0.18,2.98
4.847678,0.88,2.29
4.848702,,3.18
4.848736,,3.16
4.849052,0.28,3.12
4.849759,0.9,2.55
4.850762,0.29,3.17
4.851681,0.96,2.36
4.852584,0.36,2.64
4.852998,,3.18
4.85301,0.84,2.04
4.854235,,2.68
4.854406,0.19,2.69
4.856227,,2.85
4.856331,,3.04
4.857765,,3.38
4.858049,,2.69
4.858337,,2.97
4.859652,,2.07
4.859871,0.31,2.72
4.861294,,3.06
4.861605,0.97,2.16
4.862788,0.93,1.87
4.862974,,2.81
4.863318,1.1,2.07
4.864823,1.27,2.18
4.865031,0.47,2.74
4.866295,0.92,1.78
4.866744,0.08,2.68
4.867237,0.97,2.05
4.867771,0.24,2.83
4.868352,0.98,2.18
4.869617,,2.52
4.87017,0.98,1.96
4.871686,0.89,1.97
4.871882,,2.87
4.871882,0.04,2.59
4.872938,0.96,1.94
4.873595,0.1,2.77
4.875308,-0.02,2.44
4.875412,,2.96
4.876135,,2.32
4.876259,0.87,2.2
4.876335,0.93,1.78
4.878733,0.06,2.67
4.878941,0.99,2.36
4.879581,,2.72
4.880446,0.21,2.58
4.880585,0.6,1.93
4.882159,0.05,2.81
4.88247,,2.92
4.883117,,2.81
4.883872,-0.11,2.87
4.885035,,3.02
4.885584,0.04,2.94
4.885647,,3.13
4.886704,,3.07
4.887297,-0.08,3.03
4.88901,,3.4
4.889484,0.47,2.78
4.889529,,3.51
4.890291,,3.3
4.890723,,3.31
4.892436,0.12,3.36
4.893059,,3.73
4.893877,,2.59
4.894149,0.09,3.27
4.895861,-0.03,3.23
4.896159,,3.1
4.896588,,3.58
4.897464,0.82,2.4
4.897574,,3.36
4.899005,,2.96
4.899519,0.84,2.49
4.9005,,3.51
4.901482,0.96,2.31
4.901541,0.88,2.19
4.902448,,2.83
4.903564,0.25,2.85
4.904666,0.84,2.34
4.905583,0.99,2.11
4.905585,0.25,2.91
4.905889,0.71,2.02
4.907607,0.04,2.8
4.908641,0.89,2.01
4.90963,0.1,2.77
4.909684,0.85,1.75
4.912773,,2.75
4.912865,0.05,2.62
4.913,1.07,2.41
4.913674,0.13,2.72
4.915696,-0.04,2.66
4.916212,,2.85
4.917166,1.02,2.33
4.917718,0.07,2.74
4.917886,0.96,2.04
4.918932,0.96,1.94
4.919654,0.8,1.95
4.921333,0.97,2.48
4.921762,0.18,2.78
4.922123,,2.72
4.923,0.27,2.5
4.923067,0.97,2.07
4.924032,,3.32
4.924754,0.97,2.21
4.925046,0.1,2.9
4.925114,0.89,2.59
4.926046,0.74,2.84
4.926977,0.91,2.57
4.927909,0.93,2.62
4.928841,0.74,2.73
4.929773,0.39,2.74
4.930705,0.87,2.77
4.931636,0.77,2.65
4.932568,0.85,2.74
4.9335,0.62,2.66
4.934432,0.7,2.82
4.935364,0.9,3.07
4.936295,0.39,2.5
4.937227,0.6,2.54
4.938159,0.66,2.64
4.939091,0.63,2.71
4.940023,-0.09,2.72
4.940955,0.64,2.61
4.941886,0.67,2.76
4.942818,0.67,2.75
4.94375,0.95,2.75
4.946545,0.56,2.6
4.947477,0.85,2.53
4.948409,0.72,2.55
4.949341,0.75,2.58
4.950273,0.77,2.56
4.951205,0.3,2.47
4.952136,0.74,2.42
4.953068,0.78,2.44
4.954,0.5,2.35
4.955071,0.67,2.42
4.956143,0.72,2.57
4.957214,0.76,2.51
4.958286,0.68,2.52
4.959357,0.74,2.52
4.960429,0.79,2.61
4.9615,0.76,2.6
4.962571,0.56,2.6
4.963643,0.67,2.47
4.964714,0.59,2.46
4.965786,0.58,2.58
4.966857,0.57,2.46
4.967929,0.34,2.55
4.969,0.68,2.4
4.970071,0.36,2.51
4.971143,0.69,2.45
4.972214,0.61,2.53
4.973286,0.68,2.45
4.974357,0.56,2.47
4.975429,0.82,2.62
4.9765,0.77,2.5
4.977571,0.79,2.4
4.978643,0.86,2.47
4.979714,0.85,2.62
4.980786,0.87,2.61
4.981643,0.4,2.53
4.982929,0.76,2.61
4.984,0.48,2.55
4.985071,0.49,2.57
4.986143,0.9,2.65
4.987214,0.88,2.52
4.988286,0.72,2.65
4.989357,0.72,2.73
4.990429,0.83,2.58
4.9915,0.7,2.73
4.992572,0.94,2.54
4.993643,0.86,2.51
4.994714,0.91,2.44
4.995786,0.65,2.59
4.996857,0.84,2.52
4.997929,0.78,2.48
4.999,0.71,2.45
5.000194,0.51,2.46
5.001387,0.49,2.55
5.002581,0.68,2.53
5.003774,0.81,2.44
5.004968,0.23,2.66
5.006161,0.82,2.7
5.007355,0.69,2.48
5.008548,0.62,2.69
5.009742,0.76,2.69
5.010935,0.47,2.68
5.012129,0.43,2.83
5.013323,0.5,2.71
5.014516,0.53,2.69
5.01571,0.47,2.63
5.016903,0.8,2.7
5.018097,0.59,2.7
5.01929,0.18,2.57
5.020484,0.65,2.68
5.021677,0.65,2.57
5.022871,0.8,2.44
5.024064,1.03,2.49
5.025258,0.95,2.38
5.026451,0.75,2.53
5.027645,0.9,2.39
5.028839,0.9,2.44
5.030032,0.95,2.46
5.031226,0.92,2.4
5.032419,0.7,2.48
5.033613,0.96,2.38
5.034806,0.77,2.47
5.036,0.68,2.68
5.037093,0.87,2.44
5.038185,0.87,2.39
5.039278,0.86,2.27
5.040371,0.78,2.6
5.040589,0.65,2.5
5.041345,0.74,2.32
5.041682,0.65,2.45
5.042289,0.79,2.48
5.042775,0.59,2.46
5.042775,0.75,2.32
5.043234,0.78,2.55
5.043867,0.69,2.56
5.044178,0.52,2.63
5.04496,0.64,2.41
5.045122,0.75,2.45
5.046053,0.71,2.34
5.047145,0.74,2.58
5.048238,0.65,2.54
5.049331,0.85,2.61
5.049331,0.61,2.47
5.050424,0.75,2.35
5.049847,0.6,2.35
5.051516,0.47,2.53
5.050791,0.67,2.5
5.051735,0.61,2.82
5.053702,0.38,2.51
5.053702,0.63,2.78
5.052679,0.53,2.7
5.054795,0.43,2.71
5.053623,0.45,2.48
5.055887,0.79,2.58
5.054567,0.53,2.5
5.05698,0.54,2.66
5.05698,0.44,2.69
5.05698,0.52,2.52
5.055511,0.31,2.82
5.058073,0.68,2.64
5.058073,0.56,2.76
5.05646,0.59,2.65
5.059165,0.66,2.74
5.057404,0.61,2.8
5.060258,0.62,2.79
5.058348,0.68,2.75
5.061351,0.63,2.73
5.062444,0.8,2.4
5.062444,0.9,2.5
5.062444,0.46,2.89
5.063536,0.97,2.58
5.064629,0.75,2.57
5.064629,0.71,2.48
5.064629,0.74,2.53
5.065722,0.56,2.5
5.065722,0.55,2.52
5.065722,0.81,2.52
5.065722,0.76,2.59
5.066814,0.74,2.55
5.066814,0.89,2.57
5.066814,0.78,2.48
5.067907,0.81,2.43
5.069,0.84,2.44
5.070256,0.74,2.49
5.070256,0.65,2.47
5.070256,0.71,2.48
5.070256,0.78,2.46
5.074025,0.83,2.47
5.075282,0.81,2.5
5.076287,0.63,2.52
5.077795,0.89,2.49
5.079051,1.08,2.51
5.080308,0.45,2.52
5.081564,0.91,2.57
5.08282,0.75,2.47
5.084077,0.86,2.38
5.085333,0.87,2.5
5.08659,0.52,2.55
5.087846,0.66,2.46
5.089102,0.78,2.76
5.090359,0.62,2.51
5.091615,0.68,2.67
5.092872,0.67,2.49
5.094128,0.67,2.61
5.095385,0.77,2.63
5.096641,0.6,2.84
5.097897,0.79,2.52
5.099154,0.73,2.78
5.10041,0.68,2.58
5.101667,0.87,2.6
5.102923,0.74,2.68
5.104179,0.72,2.65
5.105436,0.73,2.56
5.106692,0.64,2.66
5.107949,0.66,2.55
5.109205,0.84,2.51
5.110462,0.76,2.47
5.111718,0.81,2.55
5.112974,0.84,2.4
5.114231,0.87,2.51
5.115487,0.84,2.46
5.116744,0.69,2.54
5.118,0.9,2.58
5.119192,0.75,2.26
5.120385,0.83,2.46
5.121577,0.77,2.51
5.122769,0.81,2.44
5.123962,0.85,2.52
5.126346,0.92,2.58
5.127539,0.88,2.55
5.128731,0.77,2.39
5.129923,0.96,2.65
5.131115,1.03,2.62
5.132308,0.86,2.55
5.1335,0.74,2.65
5.134692,0.9,2.49
5.135885,0.85,2.53
5.137077,1.01,2.48
5.138269,1.02,2.59
5.139462,0.86,2.41
5.140654,0.84,2.46
5.141846,0.81,2.41
5.143039,0.82,2.36
5.144231,0.68,2.5
5.145423,0.75,2.53
5.146616,0.88,2.55
5.147808,0.86,2.52
5.149,0.85,2.64
5.149956,0.96,2.61
5.151389,0.82,2.52
5.152584,0.79,2.52
5.153778,0.69,2.49
5.154972,0.61,2.58
5.156167,0.57,2.52
5.157361,0.75,2.57
5.158556,0.61,2.55
5.15975,0.53,2.52
5.160945,0.42,2.5
5.162139,0.32,2.56
5.163333,0.57,2.54
5.164528,0.33,2.56
5.165722,0.65,2.64
5.166917,0.54,2.54
5.168111,0.61,2.59
5.169306,0.55,2.76
5.1705,0.66,2.61
5.171694,0.77,2.76
5.172889,0.75,2.71
5.174083,0.89,2.63
5.175278,0.84,2.67
5.176472,0.97,2.59
5.177667,1.01,2.56
5.178861,1.07,2.65
5.180056,0.97,2.48
5.18125,1.04,2.62
5.182444,0.89,2.6
5.183639,0.95,2.63
5.184833,0.9,2.53
5.186028,0.85,2.58
5.187222,0.78,2.4
5.188417,0.93,2.66
5.189611,0.98,2.61
5.190805,1.01,2.6
