Period,Epoch,Stage,UpperBoundary,LowerBoundary,Average,Rperiod,Gperiod,Bperiod,Repoch,Gepoch,Bepoch,Rstage,Gstage,Bstage,Period_Abbrev,Epoch_Abbrev,Stage_Abbrev,Period_Color,Epoch_Color,Stage_Color
Cretaceous,Upper,Coniacian,85.7,89.39,87.545,0.498039215686275,0.776470588235294,0.305882352941176,0.650980392156863,0.847058823529412,0.290196078431373,0.8,0.913725490196078,0.407843137254902,K,,Cn,#7fc54d,#a6d84a,#cce868
Cretaceous,Upper,Turonian,89.39,93.9,91.645,0.498039215686275,0.776470588235294,0.305882352941176,0.650980392156863,0.847058823529412,0.290196078431373,0.749019607843137,0.890196078431372,0.364705882352941,K,,T,#7fc54d,#a6d84a,#bee25c
Cretaceous,Upper,Cenomanian,93.9,100.5,97.2,0.498039215686275,0.776470588235294,0.305882352941176,0.650980392156863,0.847058823529412,0.290196078431373,0.701960784313725,0.870588235294118,0.325490196078431,K,,C,#7fc54d,#a6d84a,#b2de52
Cretaceous,Lower,Albian,100.5,113.2,106.85,0.498039215686275,0.776470588235294,0.305882352941176,0.549019607843137,0.803921568627451,0.341176470588235,0.8,0.917647058823529,0.592156862745098,K,,A,#7fc54d,#8bcd56,#cce997
Cretaceous,Lower,Aptian,113.2,121.4,117.3,0.498039215686275,0.776470588235294,0.305882352941176,0.549019607843137,0.803921568627451,0.341176470588235,0.749019607843137,0.894117647058824,0.541176470588235,K,,Ap,#7fc54d,#8bcd56,#bee489
Cretaceous,Lower,Barremian,121.4,126.5,123.95,0.498039215686275,0.776470588235294,0.305882352941176,0.549019607843137,0.803921568627451,0.341176470588235,0.701960784313725,0.874509803921569,0.498039215686275,K,,B,#7fc54d,#8bcd56,#b2df7f
Cretaceous,Lower,Hauterivian,126.5,132.6,129.55,0.498039215686275,0.776470588235294,0.305882352941176,0.549019607843137,0.803921568627451,0.341176470588235,0.650980392156863,0.850980392156863,0.458823529411765,K,,H,#7fc54d,#8bcd56,#a6d975
Cretaceous,Lower,Valanginian,132.6,137.7,135.15,0.498039215686275,0.776470588235294,0.305882352941176,0.549019607843137,0.803921568627451,0.341176470588235,0.6,0.827450980392157,0.415686274509804,K,,V,#7fc54d,#8bcd56,#99d36a
Cretaceous,Lower,Berriasian,137.7,143.1,140.4,0.498039215686275,0.776470588235294,0.305882352941176,0.549019607843137,0.803921568627451,0.341176470588235,0.549019607843137,0.803921568627451,0.376470588235294,K,,B,#7fc54d,#8bcd56,#8bcd5f
Jurassic,Upper,Tithonian,143.1,149.24,146.17,0.203921568627451,0.698039215686274,0.788235294117647,0.701960784313725,0.890196078431372,0.933333333333333,0.850980392156863,0.945098039215686,0.968627450980392,J,,,#34b1c9,#b2e2ed,#d9f0f6
Jurassic,Upper,Kimmeridgian,149.24,154.78,152.01,0.203921568627451,0.698039215686274,0.788235294117647,0.701960784313725,0.890196078431372,0.933333333333333,0.8,0.925490196078431,0.956862745098039,J,,,#34b1c9,#b2e2ed,#ccebf3
Jurassic,Upper,Oxfordian,154.78,161.53,158.155,0.203921568627451,0.698039215686274,0.788235294117647,0.701960784313725,0.890196078431372,0.933333333333333,0.749019607843137,0.905882352941176,0.945098039215686,J,,,#34b1c9,#b2e2ed,#bee6f0
Jurassic,Middle,Callovian,161.53,165.29,163.41,0.203921568627451,0.698039215686274,0.788235294117647,0.501960784313725,0.811764705882353,0.847058823529412,0.749019607843137,0.905882352941176,0.898039215686275,J,,,#34b1c9,#7fcfd8,#bee6e5
Jurassic,Middle,Bathonian,165.29,168.17,166.73,0.203921568627451,0.698039215686274,0.788235294117647,0.501960784313725,0.811764705882353,0.847058823529412,0.701960784313725,0.886274509803922,0.890196078431372,J,,,#34b1c9,#7fcfd8,#b2e2e2
Jurassic,Middle,Bajocian,168.17,170.9,169.535,0.203921568627451,0.698039215686274,0.788235294117647,0.501960784313725,0.811764705882353,0.847058823529412,0.650980392156863,0.866666666666667,0.87843137254902,J,,,#34b1c9,#7fcfd8,#a6dde0
Jurassic,Middle,Aalenian,170.9,174.7,172.8,0.203921568627451,0.698039215686274,0.788235294117647,0.501960784313725,0.811764705882353,0.847058823529412,0.603921568627451,0.850980392156863,0.866666666666667,J,,,#34b1c9,#7fcfd8,#9ad9dd
Jurassic,Lower,Toarcian,174.7,184.2,179.45,0.203921568627451,0.698039215686274,0.788235294117647,0.258823529411765,0.682352941176471,0.815686274509804,0.6,0.807843137254902,0.890196078431372,J,,,#34b1c9,#42aed0,#99cee2
Jurassic,Lower,Pliensbachian,184.2,192.9,188.55,0.203921568627451,0.698039215686274,0.788235294117647,0.258823529411765,0.682352941176471,0.815686274509804,0.501960784313725,0.772549019607843,0.866666666666667,J,,,#34b1c9,#42aed0,#7fc4dd
Jurassic,Lower,Sinemurian,192.9,199.46,196.18,0.203921568627451,0.698039215686274,0.788235294117647,0.258823529411765,0.682352941176471,0.815686274509804,0.403921568627451,0.737254901960784,0.847058823529412,J,,,#34b1c9,#42aed0,#67bbd8
Jurassic,Lower,Hettangian,199.46,201.36,200.41,0.203921568627451,0.698039215686274,0.788235294117647,0.258823529411765,0.682352941176471,0.815686274509804,0.305882352941176,0.701960784313725,0.827450980392157,J,,,#34b1c9,#42aed0,#4db2d3
Triassic,Upper,Rhaetian,201.36,205.74,203.55,0.505882352941176,0.168627450980392,0.572549019607843,0.741176470588235,0.549019607843137,0.764705882352941,0.890196078431372,0.725490196078431,0.858823529411765,T,,,#802a91,#bc8bc2,#e2b8db
Triassic,Upper,Norian,205.74,227.3,216.52,0.505882352941176,0.168627450980392,0.572549019607843,0.741176470588235,0.549019607843137,0.764705882352941,0.83921568627451,0.666666666666667,0.827450980392157,T,,,#802a91,#bc8bc2,#d6aad3
Triassic,Upper,Carnian,227.3,237.0,232.15,0.505882352941176,0.168627450980392,0.572549019607843,0.741176470588235,0.549019607843137,0.764705882352941,0.788235294117647,0.607843137254902,0.796078431372549,T,,,#802a91,#bc8bc2,#c99bcb
Triassic,Middle,Ladinian,237.0,241.46,239.23,0.505882352941176,0.168627450980392,0.572549019607843,0.694117647058824,0.407843137254902,0.694117647058824,0.788235294117647,0.513725490196078,0.749019607843137,T,,,#802a91,#b168b1,#c982be
Triassic,Middle,Anisian,241.46,246.7,244.08,0.505882352941176,0.168627450980392,0.572549019607843,0.694117647058824,0.407843137254902,0.694117647058824,0.737254901960784,0.458823529411765,0.717647058823529,T,,,#802a91,#b168b1,#bb75b6
Triassic,Lower,Olenekian,246.7,249.88,248.29,0.505882352941176,0.168627450980392,0.572549019607843,0.596078431372549,0.223529411764706,0.6,0.690196078431373,0.317647058823529,0.647058823529412,T,,,#802a91,#983999,#b050a5
Triassic,Lower,Induan,249.88,251.9,250.89,0.505882352941176,0.168627450980392,0.572549019607843,0.596078431372549,0.223529411764706,0.6,0.643137254901961,0.274509803921569,0.623529411764706,T,,,#802a91,#983999,#a4469f
Permian,Lopingian,Changhsingian,251.9,254.24,253.07,0.941176470588235,0.250980392156863,0.156862745098039,0.843137254901961,0.654901960784314,0.580392156862745,0.988235294117647,0.752941176470588,0.698039215686274,P,,,#ef4027,#d7a793,#fbbfb1
Permian,Lopingian,Wuchiapingian,254.24,259.55,256.895,0.941176470588235,0.250980392156863,0.156862745098039,0.843137254901961,0.654901960784314,0.580392156862745,0.988235294117647,0.705882352941177,0.635294117647059,P,,,#ef4027,#d7a793,#fbb4a2
Permian,Guadalupian,Capitanian,259.55,264.34,261.945,0.941176470588235,0.250980392156863,0.156862745098039,0.984313725490196,0.454901960784314,0.36078431372549,0.984313725490196,0.603921568627451,0.52156862745098,P,,,#ef4027,#fb745b,#fb9a84
Permian,Guadalupian,Wordian,264.34,269.21,266.775,0.941176470588235,0.250980392156863,0.156862745098039,0.984313725490196,0.454901960784314,0.36078431372549,0.984313725490196,0.552941176470588,0.462745098039216,P,,,#ef4027,#fb745b,#fb8c76
Permian,Guadalupian,Roadian,269.21,274.37,271.79,0.941176470588235,0.250980392156863,0.156862745098039,0.984313725490196,0.454901960784314,0.36078431372549,0.984313725490196,0.501960784313725,0.411764705882353,P,,,#ef4027,#fb745b,#fb7f69
Permian,Cisuralian,Kungurian,274.37,283.3,278.835,0.941176470588235,0.250980392156863,0.156862745098039,0.937254901960784,0.345098039215686,0.270588235294118,0.890196078431372,0.529411764705882,0.462745098039216,P,,,#ef4027,#ee5745,#e28676
Permian,Cisuralian,Artinskian,283.3,290.51,286.905,0.941176470588235,0.250980392156863,0.156862745098039,0.937254901960784,0.345098039215686,0.270588235294118,0.890196078431372,0.482352941176471,0.407843137254902,P,,,#ef4027,#ee5745,#e27b68
Permian,Cisuralian,Sakmarian,290.51,293.52,292.015,0.941176470588235,0.250980392156863,0.156862745098039,0.937254901960784,0.345098039215686,0.270588235294118,0.890196078431372,0.435294117647059,0.36078431372549,P,,,#ef4027,#ee5745,#e26f5b
Permian,Cisuralian,Asselian,293.52,298.89,296.205,0.941176470588235,0.250980392156863,0.156862745098039,0.937254901960784,0.345098039215686,0.270588235294118,0.890196078431372,0.388235294117647,0.313725490196078,P,,,#ef4027,#ee5745,#e2624f
Carboniferous,Upper,Gzhelian,298.89,303.68,301.285,0.403921568627451,0.647058823529412,0.6,0.749019607843137,0.815686274509804,0.729411764705882,0.8,0.831372549019608,0.780392156862745,C,,,#67a599,#bed0b9,#ccd4c6
Carboniferous,Upper,Kasimovian,303.68,307.02,305.35,0.403921568627451,0.647058823529412,0.6,0.749019607843137,0.815686274509804,0.729411764705882,0.749019607843137,0.815686274509804,0.772549019607843,C,,,#67a599,#bed0b9,#bed0c4
Carboniferous,Middle,Moscovian,307.02,315.15,311.085,0.403921568627451,0.647058823529412,0.6,0.650980392156863,0.780392156862745,0.717647058823529,0.701960784313725,0.796078431372549,0.725490196078431,C,,,#67a599,#a6c6b6,#b2cbb8
Carboniferous,Lower,Bashkirian,315.15,323.4,319.275,0.403921568627451,0.647058823529412,0.6,0.549019607843137,0.745098039215686,0.705882352941177,0.6,0.76078431372549,0.709803921568627,C,,,#67a599,#8bbdb4,#99c1b4
Carboniferous,Upper,Serpukhovian,323.4,330.34,326.87,0.403921568627451,0.647058823529412,0.6,0.701960784313725,0.745098039215686,0.423529411764706,0.749019607843137,0.76078431372549,0.419607843137255,C,,,#67a599,#b2bd6c,#bec16b
Carboniferous,Middle,Visean,330.34,346.73,338.535,0.403921568627451,0.647058823529412,0.6,0.6,0.705882352941177,0.423529411764706,0.650980392156863,0.725490196078431,0.423529411764706,C,,,#67a599,#99b46c,#a6b86c
Carboniferous,Lower,Tournaisian,346.73,359.3,353.015,0.403921568627451,0.647058823529412,0.6,0.501960784313725,0.670588235294118,0.423529411764706,0.549019607843137,0.690196078431373,0.423529411764706,C,,,#67a599,#7fab6c,#8bb06c
Devonian,Upper,Famennian,359.3,371.1,365.2,0.796078431372549,0.549019607843137,0.215686274509804,0.945098039215686,1.0,0.615686274509804,0.949019607843137,0.929411764705882,0.772549019607843,D,,,#cb8b37,#f0ff9d,#f1ecc4
Devonian,Upper,Frasnian,371.1,378.9,375.0,0.796078431372549,0.549019607843137,0.215686274509804,0.945098039215686,1.0,0.615686274509804,0.949019607843137,0.929411764705882,0.67843137254902,D,,,#cb8b37,#f0ff9d,#f1ecad
Devonian,Middle,Givetian,378.9,385.3,382.1,0.796078431372549,0.549019607843137,0.215686274509804,0.945098039215686,0.784313725490196,0.407843137254902,0.945098039215686,0.882352941176471,0.52156862745098,D,,,#cb8b37,#f0c768,#f0e184
Devonian,Middle,Eifelian,385.3,394.3,389.8,0.796078431372549,0.549019607843137,0.215686274509804,0.945098039215686,0.784313725490196,0.407843137254902,0.945098039215686,0.835294117647059,0.462745098039216,D,,,#cb8b37,#f0c768,#f0d576
Devonian,Lower,Emsian,394.3,410.5,402.4,0.796078431372549,0.549019607843137,0.215686274509804,0.898039215686275,0.674509803921569,0.301960784313725,0.898039215686275,0.815686274509804,0.458823529411765,D,,,#cb8b37,#e5ac4c,#e5d075
Devonian,Lower,Pragian,410.5,412.4,411.45,0.796078431372549,0.549019607843137,0.215686274509804,0.898039215686275,0.674509803921569,0.301960784313725,0.898039215686275,0.768627450980392,0.407843137254902,D,,,#cb8b37,#e5ac4c,#e5c368
Devonian,Lower,Lochkovian,412.4,419.0,415.7,0.796078431372549,0.549019607843137,0.215686274509804,0.898039215686275,0.674509803921569,0.301960784313725,0.898039215686275,0.717647058823529,0.352941176470588,D,,,#cb8b37,#e5ac4c,#e5b659
Silurian,Pridoli,Pridoli,419.0,422.73,420.865,0.701960784313725,0.882352941176471,0.713725490196078,0.901960784313726,0.96078431372549,0.882352941176471,0.901960784313726,0.96078431372549,0.882352941176471,S,,,#b2e1b5,#e6f4e1,#e6f4e1
Silurian,Ludlow,Ludfordian,422.73,425.01,423.87,0.701960784313725,0.882352941176471,0.713725490196078,0.749019607843137,0.901960784313726,0.811764705882353,0.850980392156863,0.941176470588235,0.874509803921569,S,,,#b2e1b5,#bee6cf,#d9efdf
Silurian,Ludlow,Gorstian,425.01,426.74,425.875,0.701960784313725,0.882352941176471,0.713725490196078,0.749019607843137,0.901960784313726,0.811764705882353,0.8,0.925490196078431,0.866666666666667,S,,,#b2e1b5,#bee6cf,#ccebdd
Silurian,Wenlock,Homerian,426.74,430.62,428.68,0.701960784313725,0.882352941176471,0.713725490196078,0.701960784313725,0.882352941176471,0.76078431372549,0.8,0.92156862745098,0.819607843137255,S,,,#b2e1b5,#b2e1c1,#ccead1
Silurian,Wenlock,Sheinwoodian,430.62,432.93,431.775,0.701960784313725,0.882352941176471,0.713725490196078,0.701960784313725,0.882352941176471,0.76078431372549,0.749019607843137,0.901960784313726,0.764705882352941,S,,,#b2e1b5,#b2e1c1,#bee6c2
